setid,Mole ratio to solvent: .gamma.-butyrolactone,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
EEhuw,1,100,303.15,1700,Tatara et al. (2020),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
EEhuw,2,100,303.15,1530,Tatara et al. (2020),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
EEhuw,3,100,303.15,1430,Tatara et al. (2020),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
EEhuw,4,100,303.15,1370,Tatara et al. (2020),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
EEhuw,5,100,303.15,1330,Tatara et al. (2020),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
EEhuw,6,100,303.15,1300,Tatara et al. (2020),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
EEhuw,7,100,303.15,1280,Tatara et al. (2020),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
EEhuw,8,100,303.15,1260,Tatara et al. (2020),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
EEhuw,9,100,303.15,1250,Tatara et al. (2020),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
EEhuw,10,100,303.15,1240,Tatara et al. (2020),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
EEhuw,20,100,303.15,1180,Tatara et al. (2020),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
