setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,Mole fraction of propanoic acid,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
KWzEf,293.15,0.0378,0.6101,100,1014,Masilo et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAOMRa,CCC(=O)O,propanoic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
KWzEf,293.15,0.0485,0.4975,100,1036,Masilo et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAOMRa,CCC(=O)O,propanoic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
KWzEf,293.15,0.0593,0.3848,100,1020,Masilo et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAOMRa,CCC(=O)O,propanoic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
KWzEf,293.15,0.0692,0.2816,100,1032,Masilo et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAOMRa,CCC(=O)O,propanoic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
KWzEf,293.15,0.0782,0.1901,100,1031,Masilo et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAOMRa,CCC(=O)O,propanoic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
KWzEf,293.15,0.0877,0.0898,100,1047,Masilo et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAOMRa,CCC(=O)O,propanoic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
KWzEf,293.15,0.1117,0.6723,100,1019,Masilo et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAOMRa,CCC(=O)O,propanoic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
KWzEf,293.15,0.1377,0.8164,100,1053,Masilo et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAOMRa,CCC(=O)O,propanoic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
KWzEf,293.15,0.1912,0.4374,100,1048,Masilo et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAOMRa,CCC(=O)O,propanoic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
KWzEf,293.15,0.2245,0.3408,100,1065,Masilo et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAOMRa,CCC(=O)O,propanoic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
