setid,"Temperature, K","MolaLity of 1-propylpyridinium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
CFuhs,288.15,0.0099,100,999.5,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,288.15,0.02,100,1000,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,288.15,0.03,100,1000.4,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,288.15,0.04,100,1001,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,288.15,0.05,100,1001.8,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,288.15,0.0618,100,1001.9,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,288.15,0.0703,100,1002.4,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,288.15,0.08,100,1002.7,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,288.15,0.0896,100,1003.1,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,288.15,0.0997,100,1003.6,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
