setid,"MolaLity of dodecyltrimethylammonium bromide, mol/kg","Pressure, kPa","Temperature, K","Solvent: MolaLity of butan-1-ol, mol/kg","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
bjrLI,0.02004,101,298,0.02,0.378,De Lisi et al. (1990c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
bjrLI,0.03018,101,298,0.02,0.515,De Lisi et al. (1990c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
bjrLI,0.03993,101,298,0.02,0.647,De Lisi et al. (1990c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
bjrLI,0.06976,101,298,0.02,1.037,De Lisi et al. (1990c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
bjrLI,0.0994,101,298,0.02,1.427,De Lisi et al. (1990c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
bjrLI,0.1495,101,298,0.02,2.069,De Lisi et al. (1990c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
bjrLI,0.1991,101,298,0.02,2.691,De Lisi et al. (1990c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
bjrLI,0.2396,101,298,0.02,3.199,De Lisi et al. (1990c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
bjrLI,0.2902,101,298,0.02,3.809,De Lisi et al. (1990c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
bjrLI,0.362,101,298,0.02,4.645,De Lisi et al. (1990c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
bjrLI,0.4975,101,298,0.02,6.15,De Lisi et al. (1990c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
bjrLI,0.7925,101,298,0.02,9.102,De Lisi et al. (1990c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
