setid,"Temperature, K",Mole fraction of 2-hydroxy-N-methylethanaminium pentanoate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
SkjpH,298.15,0.0199,102,1013,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,298.15,0.05,102,1026,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,298.15,0.0988,102,1027.5,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,298.15,0.2023,102,1029.9,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,298.15,0.3,102,1028.5,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,298.15,0.4053,102,1025.2,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,298.15,0.5003,102,1021,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,298.15,0.5993,102,1019.1,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,298.15,0.8061,102,1013.3,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,298.15,1,102,1009.3,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,303.15,0.0199,102,1009.6,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,303.15,0.05,102,1022.7,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,303.15,0.0988,102,1024.2,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,303.15,0.2023,102,1026.8,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,303.15,0.3,102,1025.4,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,303.15,0.4053,102,1022.1,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,303.15,0.5003,102,1017.8,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,303.15,0.5993,102,1015.9,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,303.15,0.8061,102,1010.1,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
