setid,"Temperature, K",Mole fraction of water,Mole fraction of dimethyl sulfoxide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
WLpgS,293.15,0,1,100,1101.2,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,293.15,0.003,0.1,100,1150.2,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,293.15,0.004,0.15,100,1149.6,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,293.15,0.004,0.249,100,1148.2,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,293.15,0.004,0.497,100,1143.7,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,293.15,0.005,0.768,100,1132.3,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,293.15,0.008,0.886,100,1120.7,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,293.15,0.019,0.048,100,1150.9,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,303.15,0,1,100,1091.2,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,303.15,0.003,0.1,100,1143.1,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
