setid,"MolaLity of 1-hexyl-3-methylimidazolium chloride, mol/kg","Temperature, K","Pressure, kPa","MolaLity of potassium 3-ethoxy-3-oxopropanoate, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
dEQCy,0.0116,288.15,101.3,0.25,1016,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.0116,293.15,101.3,0.25,1014.86,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.0116,298.15,101.3,0.25,1013.49,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.0116,303.15,101.3,0.25,1011.91,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.0116,308.15,101.3,0.25,1010.14,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.0116,313.15,101.3,0.25,1008.17,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.0196,288.15,101.3,0.25,1016.06,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.0196,293.15,101.3,0.25,1014.92,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.0196,298.15,101.3,0.25,1013.54,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.0196,303.15,101.3,0.25,1011.96,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.0196,308.15,101.3,0.25,1010.17,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.0196,313.15,101.3,0.25,1008.21,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.0453,288.15,101.3,0.25,1016.27,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.0453,293.15,101.3,0.25,1015.1,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
