setid,"Temperature, K",Mole fraction of ethylammonium nitrate,"Pressure, kPa","Specific volume, m<SUP>3</SUP>/kg",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OOEaX,288.15,0,101,0.0010009,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,288.15,0.0008,101,0.0009997,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,288.15,0.00199,101,0.000998,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,288.15,0.00393,101,0.0009953,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,288.15,0.01186,101,0.0009851,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,288.15,0.02251,101,0.0009727,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,288.15,0.04273,101,0.0009526,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,288.15,0.07652,101,0.0009272,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,288.15,0.10753,101,0.0009101,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,288.15,0.17052,101,0.0008858,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,288.15,0.3689,101,0.0008508,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,288.15,0.5278,101,0.0008384,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,288.15,0.8445,101,0.0008248,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,288.15,0.8934,101,0.0008238,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,288.15,0.93104,101,0.000823,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,288.15,0.99501,101,0.0008227,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,288.15,1,101,0.0008226,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
