setid,Weight fraction of propan-2-ol,Weight fraction of water,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
xhnlI,0.021,0.3882,101,298.15,1102,Navarro et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
xhnlI,0.0225,0.4948,101,298.15,1081.7,Navarro et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
xhnlI,0.0228,0.6827,101,298.15,1048.3,Navarro et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
xhnlI,0.0254,0.8671,101,298.15,1010.2,Navarro et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
xhnlI,0.0315,0.1981,101,298.15,1134.2,Navarro et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
xhnlI,0.0324,0.2944,101,298.15,1115.4,Navarro et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
xhnlI,0.0334,0.2433,101,298.15,1124.6,Navarro et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
xhnlI,0.0341,0.0161,101,298.15,1176.8,Navarro et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
xhnlI,0.0341,0.0565,101,298.15,1165.2,Navarro et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
xhnlI,0.0341,0.0949,101,298.15,1155.3,Navarro et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
xhnlI,0.0348,0.0382,101,298.15,1168.7,Navarro et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
xhnlI,0.0375,0.0094,101,298.15,1176.7,Navarro et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
xhnlI,0.039,0.0197,101,298.15,1162.6,Navarro et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
