setid,"Temperature, K","MolaLity of 1-butyl-3-hexyl-1H-imidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZRTen,293.15,0,100,998.2,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,293.15,0.0051,100,998.4,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,293.15,0.0109,100,998.6,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,293.15,0.0151,100,998.8,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,293.15,0.02,100,999,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,293.15,0.0254,100,999.2,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,293.15,0.0302,100,999.4,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,293.15,0.035,100,999.6,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,293.15,0.04,100,999.8,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,293.15,0.0452,100,1000,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,293.15,0.05,100,1000.2,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,298.15,0,100,997,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,298.15,0.0051,100,997.2,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,298.15,0.0109,100,997.4,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,298.15,0.0151,100,997.6,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,298.15,0.02,100,997.8,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,298.15,0.0254,100,998,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,298.15,0.0302,100,998.2,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,298.15,0.035,100,998.4,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,298.15,0.04,100,998.6,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,298.15,0.0452,100,998.8,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,298.15,0.05,100,999,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,303.15,0,100,995.6,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,303.15,0.0051,100,995.7,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,303.15,0.0109,100,995.9,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,303.15,0.0151,100,996.1,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,303.15,0.02,100,996.2,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,303.15,0.0254,100,996.4,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,303.15,0.0302,100,996.6,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,303.15,0.035,100,996.8,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,303.15,0.04,100,997,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,303.15,0.0452,100,997.2,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,303.15,0.05,100,997.4,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,308.15,0,100,994,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,308.15,0.0051,100,994,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,308.15,0.0109,100,994.1,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,308.15,0.0151,100,994.2,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,308.15,0.02,100,994.4,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,308.15,0.0254,100,994.6,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,308.15,0.0302,100,994.8,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,308.15,0.035,100,995,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
ZRTen,308.15,0.04,100,995.2,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgdP,CCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-hexyl-1H-imidazolium bromide,,,
