setid,Mole fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,Mole fraction of 2-aminoethan-1-ol,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
nZWzz,0.0337,0.2024,308.15,101.3,1051.1,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.0337,0.2024,313.15,101.3,1047.6,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.0337,0.2024,318.15,101.3,1044.2,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.0337,0.2024,323.15,101.3,1040.7,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.0337,0.2024,328.15,101.3,1037.5,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.0337,0.2024,333.15,101.3,1036.1,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.0792,0.1188,293.15,101.3,1094.4,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.0792,0.1188,298.15,101.3,1090.9,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.0792,0.1188,303.15,101.3,1087.2,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.0792,0.1188,308.15,101.3,1083.8,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.0792,0.1188,313.15,101.3,1080.1,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.0792,0.1188,318.15,101.3,1076.5,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.0792,0.1188,323.15,101.3,1072.9,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.0792,0.1188,328.15,101.3,1069.5,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.0792,0.1188,333.15,101.3,1068.1,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.0977,0.2442,293.15,101.3,1097.9,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.0977,0.2442,298.15,101.3,1094.1,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.0977,0.2442,303.15,101.3,1090.3,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.0977,0.2442,308.15,101.3,1086.6,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
