setid,"Temperature, K",Mole fraction of tetradecyltrihexylphosphonium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZfOQU,293.15,0.0374,101,952.28,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,293.15,0.0791,101,955.06,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,293.15,0.0932,101,955.76,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,293.15,0.153,101,957.9,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,293.15,0.2252,101,959.05,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,293.15,0.3292,101,959.99,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,293.15,0.475,101,960.61,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,293.15,0.5659,101,960.9,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,293.15,0.7337,101,961.1,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,293.15,0.8695,101,961.2,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,298.15,0.0374,101,947.88,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,298.15,0.0791,101,950.94,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,298.15,0.0932,101,951.71,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,298.15,0.153,101,954.07,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,298.15,0.2252,101,955.4,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,298.15,0.3292,101,956.51,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
