setid,"Temperature, K","MolaLity of tetraethylammonium tetrafluoroborate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
aZoHg,293.15,0.1028,100,788.884,Zhao et al. (2021a),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
aZoHg,293.15,0.2025,100,794.95,Zhao et al. (2021a),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
aZoHg,293.15,0.2994,100,800.598,Zhao et al. (2021a),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
aZoHg,293.15,0.4012,100,806.302,Zhao et al. (2021a),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
aZoHg,293.15,0.4996,100,811.624,Zhao et al. (2021a),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
aZoHg,293.15,0.6002,100,816.876,Zhao et al. (2021a),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
aZoHg,293.15,0.6994,100,821.854,Zhao et al. (2021a),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
aZoHg,293.15,0.8008,100,826.777,Zhao et al. (2021a),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
aZoHg,293.15,0.9014,100,831.477,Zhao et al. (2021a),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
aZoHg,293.15,1,100,835.905,Zhao et al. (2021a),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
aZoHg,298.15,0.1028,100,783.558,Zhao et al. (2021a),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
aZoHg,298.15,0.2025,100,789.678,Zhao et al. (2021a),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
aZoHg,298.15,0.2994,100,795.37,Zhao et al. (2021a),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
aZoHg,298.15,0.4012,100,801.116,Zhao et al. (2021a),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
aZoHg,298.15,0.4996,100,806.474,Zhao et al. (2021a),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
aZoHg,298.15,0.6002,100,811.758,Zhao et al. (2021a),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
aZoHg,298.15,0.6994,100,816.763,Zhao et al. (2021a),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
aZoHg,298.15,0.8008,100,821.711,Zhao et al. (2021a),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
aZoHg,298.15,0.9014,100,826.429,Zhao et al. (2021a),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
aZoHg,298.15,1,100,830.871,Zhao et al. (2021a),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
aZoHg,303.15,0.1028,100,778.194,Zhao et al. (2021a),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
aZoHg,303.15,0.2025,100,784.365,Zhao et al. (2021a),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
aZoHg,303.15,0.2994,100,790.103,Zhao et al. (2021a),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
aZoHg,303.15,0.4012,100,795.891,Zhao et al. (2021a),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
