setid,"Temperature, K",Mole fraction of 1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
WYElD,283.15,0,101,793.7,Yang et al. (2019b),Density,Liquid,ABIhVd,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),AALcwx,CC(C)O,propan-2-ol,,,
WYElD,283.15,0.1001,101,905.3,Yang et al. (2019b),Density,Liquid,ABIhVd,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),AALcwx,CC(C)O,propan-2-ol,,,
WYElD,283.15,0.2,101,978.6,Yang et al. (2019b),Density,Liquid,ABIhVd,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),AALcwx,CC(C)O,propan-2-ol,,,
WYElD,283.15,0.2999,101,1028.8,Yang et al. (2019b),Density,Liquid,ABIhVd,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),AALcwx,CC(C)O,propan-2-ol,,,
WYElD,283.15,0.4,101,1065.9,Yang et al. (2019b),Density,Liquid,ABIhVd,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),AALcwx,CC(C)O,propan-2-ol,,,
WYElD,283.15,0.5001,101,1094.2,Yang et al. (2019b),Density,Liquid,ABIhVd,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),AALcwx,CC(C)O,propan-2-ol,,,
WYElD,283.15,0.5998,101,1114.8,Yang et al. (2019b),Density,Liquid,ABIhVd,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),AALcwx,CC(C)O,propan-2-ol,,,
WYElD,283.15,0.7002,101,1130.4,Yang et al. (2019b),Density,Liquid,ABIhVd,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),AALcwx,CC(C)O,propan-2-ol,,,
WYElD,283.15,0.8001,101,1143,Yang et al. (2019b),Density,Liquid,ABIhVd,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),AALcwx,CC(C)O,propan-2-ol,,,
WYElD,283.15,0.8985,101,1153.8,Yang et al. (2019b),Density,Liquid,ABIhVd,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),AALcwx,CC(C)O,propan-2-ol,,,
WYElD,283.15,1,101,1162.8,Yang et al. (2019b),Density,Liquid,ABIhVd,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),AALcwx,CC(C)O,propan-2-ol,,,
WYElD,288.15,0,101,789.6,Yang et al. (2019b),Density,Liquid,ABIhVd,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),AALcwx,CC(C)O,propan-2-ol,,,
WYElD,288.15,0.1001,101,901.8,Yang et al. (2019b),Density,Liquid,ABIhVd,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),AALcwx,CC(C)O,propan-2-ol,,,
