setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium salicylate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
zyfbf,288.15,0,87,999.1,Shekaari et al. (2016d),Density,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,
zyfbf,288.15,0.1032,87,1004.9,Shekaari et al. (2016d),Density,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,
zyfbf,288.15,0.1055,87,1005,Shekaari et al. (2016d),Density,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,
zyfbf,288.15,0.2001,87,1010.3,Shekaari et al. (2016d),Density,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,
zyfbf,288.15,0.2005,87,1010.5,Shekaari et al. (2016d),Density,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,
zyfbf,288.15,0.296,87,1015.8,Shekaari et al. (2016d),Density,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,
zyfbf,288.15,0.3,87,1015.8,Shekaari et al. (2016d),Density,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,
zyfbf,298.15,0,87,997,Shekaari et al. (2016d),Density,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,
zyfbf,298.15,0.1032,87,1002.6,Shekaari et al. (2016d),Density,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,
zyfbf,298.15,0.1055,87,1002.6,Shekaari et al. (2016d),Density,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,
zyfbf,298.15,0.2001,87,1008,Shekaari et al. (2016d),Density,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,
zyfbf,298.15,0.2005,87,1007.9,Shekaari et al. (2016d),Density,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,
zyfbf,298.15,0.296,87,1013,Shekaari et al. (2016d),Density,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,
zyfbf,298.15,0.3,87,1012.9,Shekaari et al. (2016d),Density,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,
zyfbf,308.15,0,87,994,Shekaari et al. (2016d),Density,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,
zyfbf,308.15,0.1032,87,999.4,Shekaari et al. (2016d),Density,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,
zyfbf,308.15,0.1055,87,999.4,Shekaari et al. (2016d),Density,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,
zyfbf,308.15,0.2001,87,1004.3,Shekaari et al. (2016d),Density,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,
zyfbf,308.15,0.2005,87,1004.4,Shekaari et al. (2016d),Density,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,
zyfbf,308.15,0.296,87,1009.4,Shekaari et al. (2016d),Density,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,
zyfbf,308.15,0.3,87,1009.4,Shekaari et al. (2016d),Density,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,
zyfbf,318.15,0,87,990.2,Shekaari et al. (2016d),Density,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,
zyfbf,318.15,0.1032,87,995.4,Shekaari et al. (2016d),Density,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,
zyfbf,318.15,0.1055,87,995.4,Shekaari et al. (2016d),Density,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,
zyfbf,318.15,0.2001,87,1000.2,Shekaari et al. (2016d),Density,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,
zyfbf,318.15,0.2005,87,1000.3,Shekaari et al. (2016d),Density,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,
zyfbf,318.15,0.296,87,1005.1,Shekaari et al. (2016d),Density,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,
zyfbf,318.15,0.3,87,1005,Shekaari et al. (2016d),Density,Liquid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,,,
