setid,Mole fraction of 1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mJAvl,0,101,298.15,792.6,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
mJAvl,0.0001,101,298.15,791,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
mJAvl,0.0218,101,298.15,882.5,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
mJAvl,0.0599,101,298.15,986.9,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
mJAvl,0.0837,101,298.15,1031.7,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
mJAvl,0.1926,101,298.15,1153.6,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
mJAvl,0.2708,101,298.15,1198.9,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
mJAvl,0.3019,101,298.15,1213.1,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
mJAvl,0.5004,101,298.15,1267.2,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
mJAvl,0.8201,101,298.15,1308,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
mJAvl,0.8355,101,298.15,1308.8,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
mJAvl,0.989,101,298.15,1319.5,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
mJAvl,1,101,298.15,1320.4,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
mJAvl,1,101,298.15,1320.5,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
