setid,"Temperature, K",Mole fraction of 4-butyl-4-methylmorpholinium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
vcjAx,308.15,0.0088,100,1019.5,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,308.15,0.0167,100,1039.5,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,308.15,0.034,100,1076.7,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,308.15,0.0363,100,1081.3,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,308.15,0.0601,100,1119.7,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,308.15,0.0988,100,1164.5,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,308.15,0.1242,100,1185.4,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,308.15,0.154,100,1204.7,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,308.15,0.2027,100,1227.9,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,308.15,0.2383,100,1240.7,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,308.15,0.2569,100,1246.1,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,308.15,0.3007,100,1257.2,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,313.15,0,100,992.2,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,313.15,0.0017,100,997.2,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,313.15,0.0033,100,1002,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,313.15,0.0066,100,1011.4,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,313.15,0.0088,100,1017.4,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,313.15,0.0167,100,1037.3,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,313.15,0.034,100,1074.2,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,313.15,0.0363,100,1078.7,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,313.15,0.0601,100,1116.8,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,313.15,0.0988,100,1161.3,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,313.15,0.1242,100,1182.1,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,313.15,0.154,100,1201.3,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,313.15,0.2027,100,1224.5,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,313.15,0.2383,100,1237.3,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,313.15,0.2569,100,1242.7,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,313.15,0.3007,100,1253.9,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,318.15,0,100,990.1,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,318.15,0.0017,100,995.2,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,318.15,0.0033,100,999.9,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,318.15,0.0066,100,1009.3,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,318.15,0.0088,100,1015.3,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,318.15,0.0167,100,1034.9,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,318.15,0.034,100,1071.5,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,318.15,0.0363,100,1076,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,318.15,0.0601,100,1113.8,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,318.15,0.0988,100,1158,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,318.15,0.1242,100,1178.7,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,318.15,0.154,100,1197.9,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,318.15,0.2027,100,1221.1,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,318.15,0.2383,100,1233.9,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,318.15,0.2569,100,1239.3,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,318.15,0.3007,100,1250.6,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,323.15,0,100,987.9,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,323.15,0.0017,100,993,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,323.15,0.0033,100,997.7,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,323.15,0.0066,100,1007,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,323.15,0.0088,100,1012.9,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,323.15,0.0167,100,1032.5,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,323.15,0.034,100,1068.8,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,323.15,0.0363,100,1073.2,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,323.15,0.0601,100,1110.8,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,323.15,0.0988,100,1154.6,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,323.15,0.1242,100,1175.3,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,323.15,0.154,100,1194.4,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,323.15,0.2027,100,1217.7,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,323.15,0.2383,100,1230.5,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,323.15,0.2569,100,1235.9,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,323.15,0.3007,100,1247.2,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,328.15,0,100,985.6,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,328.15,0.0017,100,990.6,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,328.15,0.0033,100,995.3,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,328.15,0.0066,100,1004.5,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,328.15,0.0088,100,1010.4,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,328.15,0.0167,100,1029.8,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,328.15,0.034,100,1065.9,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,328.15,0.0363,100,1070.1,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,328.15,0.0601,100,1107.6,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,328.15,0.0988,100,1151.2,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,328.15,0.1242,100,1171.8,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,328.15,0.154,100,1191,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,328.15,0.2027,100,1214.3,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,328.15,0.2383,100,1227.1,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,328.15,0.2569,100,1232.5,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,328.15,0.3007,100,1243.9,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,333.15,0,100,983.2,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,333.15,0.0017,100,988.1,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,333.15,0.0033,100,992.7,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,333.15,0.0066,100,1001.9,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,333.15,0.0088,100,1007.8,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,333.15,0.0167,100,1027.1,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,333.15,0.034,100,1062.9,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,333.15,0.0363,100,1067.3,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,333.15,0.0601,100,1104.4,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,333.15,0.0988,100,1147.8,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,333.15,0.1242,100,1168.4,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,333.15,0.154,100,1187.5,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,333.15,0.2027,100,1210.8,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,333.15,0.2383,100,1223.7,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,333.15,0.2569,100,1229.1,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
