setid,Weight fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
aOPft,0,298.15,101,964.78,Tian et al. (2008),Density,Liquid,AALcpn,COC=O,methyl methanoate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aOPft,0.1653,298.15,101,1011.72,Tian et al. (2008),Density,Liquid,AALcpn,COC=O,methyl methanoate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aOPft,0.2974,298.15,101,1045.5,Tian et al. (2008),Density,Liquid,AALcpn,COC=O,methyl methanoate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aOPft,0.4895,298.15,101,1091.4,Tian et al. (2008),Density,Liquid,AALcpn,COC=O,methyl methanoate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aOPft,0.6165,298.15,101,1121.5,Tian et al. (2008),Density,Liquid,AALcpn,COC=O,methyl methanoate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aOPft,0.6592,298.15,101,1131.2,Tian et al. (2008),Density,Liquid,AALcpn,COC=O,methyl methanoate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aOPft,0.7145,298.15,101,1143.6,Tian et al. (2008),Density,Liquid,AALcpn,COC=O,methyl methanoate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aOPft,0.7547,298.15,101,1152.7,Tian et al. (2008),Density,Liquid,AALcpn,COC=O,methyl methanoate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aOPft,0.7899,298.15,101,1160.4,Tian et al. (2008),Density,Liquid,AALcpn,COC=O,methyl methanoate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aOPft,0.8204,298.15,101,1167.2,Tian et al. (2008),Density,Liquid,AALcpn,COC=O,methyl methanoate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aOPft,0.8492,298.15,101,1173.4,Tian et al. (2008),Density,Liquid,AALcpn,COC=O,methyl methanoate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aOPft,0.8977,298.15,101,1182.3,Tian et al. (2008),Density,Liquid,AALcpn,COC=O,methyl methanoate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aOPft,0.9376,298.15,101,1192.8,Tian et al. (2008),Density,Liquid,AALcpn,COC=O,methyl methanoate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aOPft,0.9711,298.15,101,1202.3,Tian et al. (2008),Density,Liquid,AALcpn,COC=O,methyl methanoate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aOPft,1,298.15,101,1211,Tian et al. (2008),Density,Liquid,AALcpn,COC=O,methyl methanoate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
