setid,"Temperature, K","MolaLity of N-butyl-N-methylpiperidinium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
fypKy,293.15,0.25,101,1008.15,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
fypKy,293.15,0.5006,101,1017.18,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
fypKy,293.15,0.7499,101,1025.78,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
fypKy,293.15,0.9999,101,1034.01,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
fypKy,293.15,1.25,101,1041.71,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
fypKy,293.15,1.5003,101,1049.03,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
fypKy,293.15,1.75,101,1055.94,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
fypKy,293.15,2.0001,101,1062.38,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
fypKy,293.15,2.2001,101,1067.29,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
fypKy,293.15,2.4,101,1071.91,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
fypKy,298.15,0.25,101,1006.6,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
fypKy,298.15,0.5006,101,1015.55,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
fypKy,298.15,0.7499,101,1024.1,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
fypKy,298.15,0.9999,101,1032.29,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
fypKy,298.15,1.25,101,1039.86,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
fypKy,298.15,1.5003,101,1047.06,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
fypKy,298.15,1.75,101,1053.87,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
fypKy,298.15,2.0001,101,1060.17,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
fypKy,298.15,2.2001,101,1064.99,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
fypKy,298.15,2.4,101,1069.52,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
fypKy,303.15,0.25,101,1004.71,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
fypKy,303.15,0.5006,101,1013.61,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
fypKy,303.15,0.7499,101,1022.18,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
fypKy,303.15,0.9999,101,1030.35,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
fypKy,303.15,1.25,101,1037.65,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
fypKy,303.15,1.5003,101,1044.94,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
fypKy,303.15,1.75,101,1051.69,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
fypKy,303.15,2.0001,101,1057.79,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
fypKy,303.15,2.2001,101,1062.59,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
fypKy,303.15,2.4,101,1066.98,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
fypKy,308.15,0.25,101,1002.93,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
fypKy,308.15,0.5006,101,1011.89,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
fypKy,308.15,0.7499,101,1020.33,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
fypKy,308.15,0.9999,101,1028.69,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
fypKy,308.15,1.25,101,1035.69,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
fypKy,308.15,1.5003,101,1043.08,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
fypKy,308.15,1.75,101,1049.51,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
fypKy,308.15,2.0001,101,1055.41,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
fypKy,308.15,2.2001,101,1060.23,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
fypKy,308.15,2.4,101,1064.28,Chen et al. (2014d),Density,Liquid,AADYJk,O,water,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,,,
