setid,"MolaLity of N-decylpyridinium chloride, mol/kg","Pressure, kPa","Temperature, K","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YXYDY,0.00999,101,298,0.043,Causi et al. (1991),Density,Liquid,AAxKjK,CCCCCCCCCC[n+]1ccccc1.[Cl-],N-decylpyridinium chloride,AADYJk,O,water,,,
YXYDY,0.01983,101,298,0.078,Causi et al. (1991),Density,Liquid,AAxKjK,CCCCCCCCCC[n+]1ccccc1.[Cl-],N-decylpyridinium chloride,AADYJk,O,water,,,
YXYDY,0.02794,101,298,0.105,Causi et al. (1991),Density,Liquid,AAxKjK,CCCCCCCCCC[n+]1ccccc1.[Cl-],N-decylpyridinium chloride,AADYJk,O,water,,,
YXYDY,0.04393,101,298,0.151,Causi et al. (1991),Density,Liquid,AAxKjK,CCCCCCCCCC[n+]1ccccc1.[Cl-],N-decylpyridinium chloride,AADYJk,O,water,,,
YXYDY,0.05116,101,298,0.17,Causi et al. (1991),Density,Liquid,AAxKjK,CCCCCCCCCC[n+]1ccccc1.[Cl-],N-decylpyridinium chloride,AADYJk,O,water,,,
YXYDY,0.07093,101,298,0.225,Causi et al. (1991),Density,Liquid,AAxKjK,CCCCCCCCCC[n+]1ccccc1.[Cl-],N-decylpyridinium chloride,AADYJk,O,water,,,
YXYDY,0.08882,101,298,0.214,Causi et al. (1991),Density,Liquid,AAxKjK,CCCCCCCCCC[n+]1ccccc1.[Cl-],N-decylpyridinium chloride,AADYJk,O,water,,,
YXYDY,0.1096,101,298,0.181,Causi et al. (1991),Density,Liquid,AAxKjK,CCCCCCCCCC[n+]1ccccc1.[Cl-],N-decylpyridinium chloride,AADYJk,O,water,,,
YXYDY,0.1275,101,298,0.144,Causi et al. (1991),Density,Liquid,AAxKjK,CCCCCCCCCC[n+]1ccccc1.[Cl-],N-decylpyridinium chloride,AADYJk,O,water,,,
YXYDY,0.1499,101,298,0.09,Causi et al. (1991),Density,Liquid,AAxKjK,CCCCCCCCCC[n+]1ccccc1.[Cl-],N-decylpyridinium chloride,AADYJk,O,water,,,
YXYDY,0.2038,101,298,-0.035,Causi et al. (1991),Density,Liquid,AAxKjK,CCCCCCCCCC[n+]1ccccc1.[Cl-],N-decylpyridinium chloride,AADYJk,O,water,,,
YXYDY,0.2482,101,298,-0.145,Causi et al. (1991),Density,Liquid,AAxKjK,CCCCCCCCCC[n+]1ccccc1.[Cl-],N-decylpyridinium chloride,AADYJk,O,water,,,
YXYDY,0.2775,101,298,-0.201,Causi et al. (1991),Density,Liquid,AAxKjK,CCCCCCCCCC[n+]1ccccc1.[Cl-],N-decylpyridinium chloride,AADYJk,O,water,,,
YXYDY,0.3001,101,298,-0.238,Causi et al. (1991),Density,Liquid,AAxKjK,CCCCCCCCCC[n+]1ccccc1.[Cl-],N-decylpyridinium chloride,AADYJk,O,water,,,
YXYDY,0.3355,101,298,-0.319,Causi et al. (1991),Density,Liquid,AAxKjK,CCCCCCCCCC[n+]1ccccc1.[Cl-],N-decylpyridinium chloride,AADYJk,O,water,,,
YXYDY,0.4023,101,298,-0.441,Causi et al. (1991),Density,Liquid,AAxKjK,CCCCCCCCCC[n+]1ccccc1.[Cl-],N-decylpyridinium chloride,AADYJk,O,water,,,
YXYDY,0.4984,101,298,-0.597,Causi et al. (1991),Density,Liquid,AAxKjK,CCCCCCCCCC[n+]1ccccc1.[Cl-],N-decylpyridinium chloride,AADYJk,O,water,,,
YXYDY,0.5933,101,298,-0.775,Causi et al. (1991),Density,Liquid,AAxKjK,CCCCCCCCCC[n+]1ccccc1.[Cl-],N-decylpyridinium chloride,AADYJk,O,water,,,
YXYDY,0.7282,101,298,-0.994,Causi et al. (1991),Density,Liquid,AAxKjK,CCCCCCCCCC[n+]1ccccc1.[Cl-],N-decylpyridinium chloride,AADYJk,O,water,,,
