setid,"Temperature, K","MolaLity of 2-acetoxybenzoic acid, mol/kg","Solvent: MolaLity of 1-hexyl-3-methyl-1H-imidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
AQSta,288.15,0,0.1021,101,796,Shekaari et al. (2015e),Density,Liquid,AAihNG,CC(=O)Oc1ccccc1C(=O)O,2-acetoxybenzoic acid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
AQSta,288.15,0,0.1997,101,803.3,Shekaari et al. (2015e),Density,Liquid,AAihNG,CC(=O)Oc1ccccc1C(=O)O,2-acetoxybenzoic acid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
AQSta,288.15,0,0.289,101,811.7,Shekaari et al. (2015e),Density,Liquid,AAihNG,CC(=O)Oc1ccccc1C(=O)O,2-acetoxybenzoic acid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
AQSta,288.15,0.0402,0,101,789.8,Shekaari et al. (2015e),Density,Liquid,AAihNG,CC(=O)Oc1ccccc1C(=O)O,2-acetoxybenzoic acid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
AQSta,288.15,0.0402,0.1021,101,798.2,Shekaari et al. (2015e),Density,Liquid,AAihNG,CC(=O)Oc1ccccc1C(=O)O,2-acetoxybenzoic acid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
AQSta,288.15,0.0418,0.289,101,813.9,Shekaari et al. (2015e),Density,Liquid,AAihNG,CC(=O)Oc1ccccc1C(=O)O,2-acetoxybenzoic acid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
AQSta,288.15,0.0437,0.1997,101,805.7,Shekaari et al. (2015e),Density,Liquid,AAihNG,CC(=O)Oc1ccccc1C(=O)O,2-acetoxybenzoic acid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
AQSta,288.15,0.0796,0.289,101,816,Shekaari et al. (2015e),Density,Liquid,AAihNG,CC(=O)Oc1ccccc1C(=O)O,2-acetoxybenzoic acid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
AQSta,288.15,0.0802,0.1021,101,800.4,Shekaari et al. (2015e),Density,Liquid,AAihNG,CC(=O)Oc1ccccc1C(=O)O,2-acetoxybenzoic acid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
AQSta,288.15,0.0827,0.1997,101,807.9,Shekaari et al. (2015e),Density,Liquid,AAihNG,CC(=O)Oc1ccccc1C(=O)O,2-acetoxybenzoic acid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
AQSta,288.15,0.0834,0,101,792.3,Shekaari et al. (2015e),Density,Liquid,AAihNG,CC(=O)Oc1ccccc1C(=O)O,2-acetoxybenzoic acid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
