setid,"Temperature, K","MolaLity of 1-hexyl-3-methyl-1H-imidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
KBewL,298.15,0.0233,101,945.6,Shekaari et al. (2012b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
KBewL,298.15,0.0435,101,946.89,Shekaari et al. (2012b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
KBewL,298.15,0.0658,101,948.29,Shekaari et al. (2012b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
KBewL,298.15,0.0824,101,949.31,Shekaari et al. (2012b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
KBewL,298.15,0.1049,101,950.67,Shekaari et al. (2012b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
KBewL,298.15,0.1228,101,951.73,Shekaari et al. (2012b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
KBewL,298.15,0.1428,101,952.91,Shekaari et al. (2012b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
KBewL,298.15,0.1583,101,953.83,Shekaari et al. (2012b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
KBewL,298.15,0.1869,101,955.45,Shekaari et al. (2012b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
KBewL,298.15,0.2051,101,956.47,Shekaari et al. (2012b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
