setid,"Solvent: MolaLity of 1-methylimidazolium chloride, mol/kg","Temperature, K","MolaLity of N-(carboxymethyl)glycine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
oLOEw,0.1,288.15,0,101,1001.6,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
oLOEw,0.1,288.15,0.0501,101,1004.4,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
oLOEw,0.1,288.15,0.0986,101,1007.1,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
oLOEw,0.1,288.15,0.1505,101,1009.9,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
oLOEw,0.1,288.15,0.2009,101,1012.7,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
oLOEw,0.1,288.15,0.2494,101,1015.3,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
oLOEw,0.1,288.15,0.3006,101,1018,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
oLOEw,0.1,298.15,0,101,999.5,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
oLOEw,0.1,298.15,0.0501,101,1002.2,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
oLOEw,0.1,298.15,0.0986,101,1004.8,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
oLOEw,0.1,298.15,0.1505,101,1007.6,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
oLOEw,0.1,298.15,0.2009,101,1010.3,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
