setid,"Temperature, K","MolaLity of N,N,N-trimethyl-1-hexadecanaminium bromide, mol/kg","Pressure, kPa","Solvent: MolaLity of dodecanoic acid, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
LLbkO,298.15,0,101,0.1,807.5,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,298.15,0.0001,101,0.1,800.4,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,298.15,0.0003,101,0.1,801.3,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,298.15,0.0005,101,0.1,803.8,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,298.15,0.0007,101,0.1,800.4,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,298.15,0.0009,101,0.1,795.2,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,298.15,0.0011,101,0.1,794.7,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,298.15,0.0013,101,0.1,794.4,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,298.15,0.0015,101,0.1,794.1,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,298.15,0.0017,101,0.1,793.5,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,298.15,0.0019,101,0.1,792.9,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,298.15,0.0021,101,0.1,792.4,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,303.15,0,101,0.1,805.8,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,303.15,0.0001,101,0.1,796.5,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,303.15,0.0003,101,0.1,797.5,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,303.15,0.0005,101,0.1,800.1,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
