setid,"Temperature, K",Mole fraction of butyltriethyl ammonium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ewqqJ,298.15,0,100,997.1,Krolikowska et al. (2019b),Density,Liquid,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,AADYJk,O,water,,,
ewqqJ,298.15,0.02,100,1030.2,Krolikowska et al. (2019b),Density,Liquid,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,AADYJk,O,water,,,
ewqqJ,298.15,0.04,100,1057.3,Krolikowska et al. (2019b),Density,Liquid,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,AADYJk,O,water,,,
ewqqJ,298.15,0.06,100,1078.8,Krolikowska et al. (2019b),Density,Liquid,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,AADYJk,O,water,,,
ewqqJ,298.15,0.08,100,1095.3,Krolikowska et al. (2019b),Density,Liquid,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,AADYJk,O,water,,,
ewqqJ,298.15,0.105,100,1111,Krolikowska et al. (2019b),Density,Liquid,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,AADYJk,O,water,,,
ewqqJ,298.15,0.13,100,1122.8,Krolikowska et al. (2019b),Density,Liquid,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,AADYJk,O,water,,,
ewqqJ,298.15,0.16,100,1133.5,Krolikowska et al. (2019b),Density,Liquid,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,AADYJk,O,water,,,
ewqqJ,298.15,0.189,100,1140.9,Krolikowska et al. (2019b),Density,Liquid,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,AADYJk,O,water,,,
ewqqJ,298.15,0.22,100,1147.3,Krolikowska et al. (2019b),Density,Liquid,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,AADYJk,O,water,,,
ewqqJ,298.15,0.253,100,1152.5,Krolikowska et al. (2019b),Density,Liquid,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,AADYJk,O,water,,,
ewqqJ,303.15,0,100,995.7,Krolikowska et al. (2019b),Density,Liquid,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,AADYJk,O,water,,,
ewqqJ,303.15,0.02,100,1028.2,Krolikowska et al. (2019b),Density,Liquid,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,AADYJk,O,water,,,
ewqqJ,303.15,0.04,100,1054.7,Krolikowska et al. (2019b),Density,Liquid,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,AADYJk,O,water,,,
ewqqJ,303.15,0.06,100,1075.6,Krolikowska et al. (2019b),Density,Liquid,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,AADYJk,O,water,,,
ewqqJ,303.15,0.08,100,1091.9,Krolikowska et al. (2019b),Density,Liquid,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,AADYJk,O,water,,,
ewqqJ,303.15,0.105,100,1107.4,Krolikowska et al. (2019b),Density,Liquid,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,AADYJk,O,water,,,
ewqqJ,303.15,0.13,100,1119.1,Krolikowska et al. (2019b),Density,Liquid,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,AADYJk,O,water,,,
ewqqJ,303.15,0.16,100,1129.8,Krolikowska et al. (2019b),Density,Liquid,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,AADYJk,O,water,,,
ewqqJ,303.15,0.189,100,1137.3,Krolikowska et al. (2019b),Density,Liquid,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,AADYJk,O,water,,,
ewqqJ,303.15,0.22,100,1143.7,Krolikowska et al. (2019b),Density,Liquid,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,AADYJk,O,water,,,
ewqqJ,303.15,0.253,100,1148.9,Krolikowska et al. (2019b),Density,Liquid,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,AADYJk,O,water,,,
ewqqJ,308.15,0,100,994,Krolikowska et al. (2019b),Density,Liquid,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,AADYJk,O,water,,,
ewqqJ,308.15,0.02,100,1026,Krolikowska et al. (2019b),Density,Liquid,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,AADYJk,O,water,,,
ewqqJ,308.15,0.04,100,1051.9,Krolikowska et al. (2019b),Density,Liquid,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,AADYJk,O,water,,,
ewqqJ,308.15,0.06,100,1072.5,Krolikowska et al. (2019b),Density,Liquid,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,AADYJk,O,water,,,
ewqqJ,308.15,0.08,100,1088.4,Krolikowska et al. (2019b),Density,Liquid,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,AADYJk,O,water,,,
ewqqJ,308.15,0.105,100,1103.8,Krolikowska et al. (2019b),Density,Liquid,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,AADYJk,O,water,,,
ewqqJ,308.15,0.13,100,1115.4,Krolikowska et al. (2019b),Density,Liquid,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,AADYJk,O,water,,,
ewqqJ,308.15,0.16,100,1126.1,Krolikowska et al. (2019b),Density,Liquid,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,AADYJk,O,water,,,
ewqqJ,308.15,0.189,100,1133.6,Krolikowska et al. (2019b),Density,Liquid,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,AADYJk,O,water,,,
ewqqJ,308.15,0.22,100,1140.1,Krolikowska et al. (2019b),Density,Liquid,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,AADYJk,O,water,,,
ewqqJ,308.15,0.253,100,1145.4,Krolikowska et al. (2019b),Density,Liquid,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,AADYJk,O,water,,,
ewqqJ,313.15,0,100,992.2,Krolikowska et al. (2019b),Density,Liquid,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,AADYJk,O,water,,,
ewqqJ,313.15,0.02,100,1023.6,Krolikowska et al. (2019b),Density,Liquid,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,AADYJk,O,water,,,
