setid,"MolaLity of hexyltrimethylammonium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
CZJWH,0,101,298.15,997.043,Patil et al. (2014),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
CZJWH,0.04932,101,298.15,998.528,Patil et al. (2014),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
CZJWH,0.07746,101,298.15,999.34,Patil et al. (2014),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
CZJWH,0.1186,101,298.15,1000.62,Patil et al. (2014),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
CZJWH,0.18545,101,298.15,1002.52,Patil et al. (2014),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
CZJWH,0.23252,101,298.15,1003.51,Patil et al. (2014),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
CZJWH,0.28122,101,298.15,1004.87,Patil et al. (2014),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
CZJWH,0.33475,101,298.15,1006.36,Patil et al. (2014),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
CZJWH,0.38408,101,298.15,1007.73,Patil et al. (2014),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
CZJWH,0.43305,101,298.15,1009.1,Patil et al. (2014),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
CZJWH,0.48461,101,298.15,1010.53,Patil et al. (2014),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
CZJWH,0.53791,101,298.15,1012.02,Patil et al. (2014),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
CZJWH,0.58666,101,298.15,1013.37,Patil et al. (2014),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
CZJWH,0.6394,101,298.15,1014.84,Patil et al. (2014),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
CZJWH,0.69938,101,298.15,1016.51,Patil et al. (2014),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
