setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium bromide,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
FKvWs,298.2,0.0985,100,1.402,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
FKvWs,298.2,0.2,100,1.443,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
FKvWs,298.2,0.2919,100,1.47,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
FKvWs,298.2,0.4011,100,1.4925,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
FKvWs,298.2,0.501,100,1.505,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
FKvWs,298.2,0.5985,100,1.5155,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
FKvWs,298.2,0.6988,100,1.5255,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
FKvWs,298.2,0.8021,100,1.5305,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
FKvWs,298.2,0.8986,100,1.54,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
FKvWs,308.2,0.1033,100,1.397,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
FKvWs,308.2,0.1993,100,1.4345,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
FKvWs,308.2,0.2991,100,1.4645,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
FKvWs,308.2,0.3831,100,1.476,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
FKvWs,308.2,0.5103,100,1.4945,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
FKvWs,308.2,0.6002,100,1.5035,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
FKvWs,308.2,0.6989,100,1.5095,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
FKvWs,308.2,0.7986,100,1.5185,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
FKvWs,308.2,0.901,100,1.5265,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
FKvWs,318.2,0.1013,100,1.3885,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
FKvWs,318.2,0.1999,100,1.426,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
FKvWs,318.2,0.2995,100,1.4523,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
FKvWs,318.2,0.3999,100,1.4685,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
FKvWs,318.2,0.49,100,1.4795,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,
