setid,"Temperature, K",Mole fraction of water,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
FHuqt,288.15,0,101,1.51213,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
FHuqt,288.15,0.1088,101,1.5099,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
FHuqt,288.15,0.1227,101,1.50953,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
FHuqt,288.15,0.2017,101,1.50758,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
FHuqt,288.15,0.2943,101,1.50476,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
FHuqt,288.15,0.3952,101,1.50075,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
FHuqt,288.15,0.503,101,1.49536,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
FHuqt,288.15,0.5985,101,1.48855,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
FHuqt,288.15,0.7032,101,1.47799,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
FHuqt,288.15,0.805,101,1.46004,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
FHuqt,288.15,0.9006,101,1.42867,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
FHuqt,288.15,0.9503,101,1.39733,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
FHuqt,288.15,1,101,1.33349,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
FHuqt,298.15,0,101,1.50893,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
FHuqt,298.15,0.1088,101,1.50673,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
FHuqt,298.15,0.1227,101,1.50631,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
FHuqt,298.15,0.2017,101,1.50443,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
FHuqt,298.15,0.2943,101,1.50161,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
FHuqt,298.15,0.3952,101,1.49756,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
FHuqt,298.15,0.503,101,1.49223,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
FHuqt,298.15,0.5985,101,1.48541,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
FHuqt,298.15,0.7032,101,1.47495,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
FHuqt,298.15,0.805,101,1.45694,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
FHuqt,298.15,0.9006,101,1.42613,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
FHuqt,298.15,0.9503,101,1.3952,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
FHuqt,298.15,1,101,1.33255,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
FHuqt,308.15,0,101,1.50578,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
FHuqt,308.15,0.1088,101,1.50348,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
FHuqt,308.15,0.1227,101,1.50321,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
FHuqt,308.15,0.2017,101,1.50114,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
FHuqt,308.15,0.2943,101,1.49821,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
FHuqt,308.15,0.3952,101,1.49443,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
FHuqt,308.15,0.503,101,1.48897,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
FHuqt,308.15,0.5985,101,1.48225,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
FHuqt,308.15,0.7032,101,1.47147,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
FHuqt,308.15,0.805,101,1.45386,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
FHuqt,308.15,0.9006,101,1.42382,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
FHuqt,308.15,0.9503,101,1.39322,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
FHuqt,308.15,1,101,1.33131,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,
