setid,"Temperature, K",Mole fraction of 1-hexyl-3-methylimidazolium chloride,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
UJZyN,293.15,0,101,1.43177,Kermanpour et al. (2017),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
UJZyN,293.15,0.003,101,1.43261,Kermanpour et al. (2017),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
UJZyN,293.15,0.0061,101,1.43272,Kermanpour et al. (2017),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
UJZyN,293.15,0.0124,101,1.43493,Kermanpour et al. (2017),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
UJZyN,293.15,0.0188,101,1.43614,Kermanpour et al. (2017),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
UJZyN,293.15,0.0239,101,1.43758,Kermanpour et al. (2017),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
UJZyN,293.15,0.0358,101,1.44007,Kermanpour et al. (2017),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
UJZyN,293.15,0.0468,101,1.44247,Kermanpour et al. (2017),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
UJZyN,293.15,0.069,101,1.44657,Kermanpour et al. (2017),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
UJZyN,293.15,0.0848,101,1.44959,Kermanpour et al. (2017),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
