setid,"Solvent: MolaLity of 1-hexyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate, mol/kg","MolaLity of 2-aminoacetic acid, mol/kg","Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
RxNXm,0.1068,0,298.2,87,1.3406,Shekaari et al. (2019b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABThEt,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCn1cc[n+](C)c1,1-hexyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water,
RxNXm,0.1068,0.0993,298.2,87,1.3417,Shekaari et al. (2019b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABThEt,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCn1cc[n+](C)c1,1-hexyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water,
RxNXm,0.1068,0.1484,298.2,87,1.3423,Shekaari et al. (2019b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABThEt,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCn1cc[n+](C)c1,1-hexyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water,
RxNXm,0.1068,0.2016,298.2,87,1.343,Shekaari et al. (2019b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABThEt,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCn1cc[n+](C)c1,1-hexyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water,
RxNXm,0.1068,0.252,298.2,87,1.3436,Shekaari et al. (2019b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABThEt,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCn1cc[n+](C)c1,1-hexyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water,
RxNXm,0.1068,0.2946,298.2,87,1.3442,Shekaari et al. (2019b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABThEt,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCn1cc[n+](C)c1,1-hexyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water,
RxNXm,0.1068,0.3485,298.2,87,1.3449,Shekaari et al. (2019b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABThEt,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCn1cc[n+](C)c1,1-hexyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water,
RxNXm,0.1068,0.4012,298.2,87,1.3455,Shekaari et al. (2019b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABThEt,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCn1cc[n+](C)c1,1-hexyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water,
RxNXm,0.1068,0.4494,298.2,87,1.3461,Shekaari et al. (2019b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABThEt,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCn1cc[n+](C)c1,1-hexyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water,
RxNXm,0.1982,0,298.2,87,1.3456,Shekaari et al. (2019b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABThEt,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCn1cc[n+](C)c1,1-hexyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water,
RxNXm,0.1982,0.1395,298.2,87,1.3475,Shekaari et al. (2019b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABThEt,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCn1cc[n+](C)c1,1-hexyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water,
RxNXm,0.1982,0.1725,298.2,87,1.3479,Shekaari et al. (2019b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABThEt,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCn1cc[n+](C)c1,1-hexyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water,
RxNXm,0.1982,0.1989,298.2,87,1.3483,Shekaari et al. (2019b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABThEt,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCn1cc[n+](C)c1,1-hexyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water,
RxNXm,0.1982,0.2446,298.2,87,1.349,Shekaari et al. (2019b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABThEt,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCn1cc[n+](C)c1,1-hexyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water,
RxNXm,0.1982,0.2967,298.2,87,1.3497,Shekaari et al. (2019b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABThEt,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCn1cc[n+](C)c1,1-hexyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water,
RxNXm,0.1982,0.3514,298.2,87,1.3504,Shekaari et al. (2019b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABThEt,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCn1cc[n+](C)c1,1-hexyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water,
RxNXm,0.1982,0.405,298.2,87,1.3511,Shekaari et al. (2019b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABThEt,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCn1cc[n+](C)c1,1-hexyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water,
RxNXm,0.1982,0.4859,298.2,87,1.3522,Shekaari et al. (2019b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABThEt,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCn1cc[n+](C)c1,1-hexyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water,
RxNXm,0.2961,0,298.2,87,1.3508,Shekaari et al. (2019b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABThEt,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCn1cc[n+](C)c1,1-hexyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water,
RxNXm,0.2961,0.1199,298.2,87,1.3523,Shekaari et al. (2019b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABThEt,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCn1cc[n+](C)c1,1-hexyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water,
RxNXm,0.2961,0.15,298.2,87,1.3527,Shekaari et al. (2019b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABThEt,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCn1cc[n+](C)c1,1-hexyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water,
RxNXm,0.2961,0.2005,298.2,87,1.3533,Shekaari et al. (2019b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABThEt,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCn1cc[n+](C)c1,1-hexyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water,
