setid,Mole fraction of ethanol,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
NpbOm,0,101,298.15,1.51051,Gonzalez et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
NpbOm,0.0449,101,298.15,1.50835,Gonzalez et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
NpbOm,0.1305,101,298.15,1.50474,Gonzalez et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
NpbOm,0.2969,101,298.15,1.49563,Gonzalez et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
NpbOm,0.4753,101,298.15,1.48233,Gonzalez et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
NpbOm,0.6858,101,298.15,1.45682,Gonzalez et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
NpbOm,0.8809,101,298.15,1.41305,Gonzalez et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
NpbOm,0.917,101,298.15,1.40102,Gonzalez et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
NpbOm,0.955,101,298.15,1.38404,Gonzalez et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
NpbOm,0.9794,101,298.15,1.37207,Gonzalez et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
NpbOm,1,101,298.15,1.3596,Gonzalez et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
