setid,Solvent: Weight fraction of trimethylbenzylammonium chloride,"Temperature, K","MolaLity of sodium benzoate, mol/kg","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
OFfqr,0.001,298.15,0.01,100,1.331,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.001,298.15,0.0251,100,1.3319,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.001,298.15,0.0402,100,1.3327,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.001,298.15,0.0554,100,1.3334,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.001,298.15,0.0705,100,1.334,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.001,298.15,0.0858,100,1.3346,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.001,303.15,0.01,100,1.3306,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.001,303.15,0.0251,100,1.3315,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.001,303.15,0.0402,100,1.3323,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.001,303.15,0.0554,100,1.333,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.001,303.15,0.0705,100,1.3336,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.001,303.15,0.0858,100,1.3343,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.001,308.15,0.01,100,1.3301,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.001,308.15,0.0251,100,1.3312,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.001,308.15,0.0402,100,1.332,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.001,308.15,0.0554,100,1.3327,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.001,308.15,0.0705,100,1.3333,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.001,308.15,0.0858,100,1.334,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.001,313.15,0.01,100,1.3285,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.001,313.15,0.0251,100,1.3293,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.001,313.15,0.0402,100,1.3299,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.001,313.15,0.0554,100,1.3307,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.001,313.15,0.0705,100,1.3312,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.001,313.15,0.0858,100,1.3319,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.001,318.15,0.01,100,1.3281,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
