setid,Mole fraction of 2-ethoxy-2-methylpropane,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
tGinH,0.0425,101,298.15,1.4696,Hwang et al. (2013),Refractive index,Liquid,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
tGinH,0.0954,101,298.15,1.4691,Hwang et al. (2013),Refractive index,Liquid,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
tGinH,0.2026,101,298.15,1.4673,Hwang et al. (2013),Refractive index,Liquid,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
tGinH,0.2904,101,298.15,1.4653,Hwang et al. (2013),Refractive index,Liquid,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
tGinH,0.4013,101,298.15,1.4623,Hwang et al. (2013),Refractive index,Liquid,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
tGinH,0.4971,101,298.15,1.4587,Hwang et al. (2013),Refractive index,Liquid,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
tGinH,0.6023,101,298.15,1.4539,Hwang et al. (2013),Refractive index,Liquid,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
tGinH,0.7002,101,298.15,1.4464,Hwang et al. (2013),Refractive index,Liquid,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
tGinH,0.7999,101,298.15,1.435,Hwang et al. (2013),Refractive index,Liquid,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
tGinH,0.8998,101,298.15,1.4225,Hwang et al. (2013),Refractive index,Liquid,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
tGinH,0.9503,101,298.15,1.4154,Hwang et al. (2013),Refractive index,Liquid,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
