setid,Weight fraction of 1-butyl-3-methylimidazolium chloride,Weight fraction of potassium nitrate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
mmWuT,0,0.2792,101,298.15,1.35915,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
mmWuT,0.0649,0.1975,101,298.15,1.36641,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
mmWuT,0.1379,0.1471,101,298.15,1.37528,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
mmWuT,0.2151,0.1132,101,298.15,1.38562,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
mmWuT,0.2953,0.0871,101,298.15,1.39731,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
mmWuT,0.3754,0.0717,101,298.15,1.40982,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
mmWuT,0.4571,0.0579,101,298.15,1.42297,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
mmWuT,0.541,0.0443,101,298.15,1.43472,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
mmWuT,0.6255,0.0331,101,298.15,1.45116,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
mmWuT,0.7123,0.0212,101,298.15,1.46997,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
mmWuT,0.7975,0.0138,101,298.15,1.48841,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
