setid,"Temperature, K",Weight fraction of 1-methyl-3-octylimidazolium chloride,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
ipijd,298.15,0.0087,101,1.33395,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
ipijd,298.15,0.0173,101,1.33536,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
ipijd,298.15,0.026,101,1.33687,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
ipijd,298.15,0.0347,101,1.33837,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
ipijd,298.15,0.0433,101,1.33977,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
ipijd,298.15,0.0521,101,1.34125,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
ipijd,298.15,0.0607,101,1.34269,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
ipijd,298.15,0.0694,101,1.34418,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
ipijd,298.15,0.078,101,1.34559,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
ipijd,298.15,0.0867,101,1.34703,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
