setid,"Temperature, K",Weight fraction of 1-ethyl-3-methylimidazolium chloride,Weight fraction of rubidium chloride,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
NHVZk,288.15,0,0.4681,101,1.38745,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
NHVZk,288.15,0.0688,0.407,101,1.39321,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
NHVZk,288.15,0.1373,0.3285,101,1.39971,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
NHVZk,288.15,0.2198,0.2613,101,1.40817,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
NHVZk,288.15,0.3189,0.1774,101,1.41937,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
NHVZk,288.15,0.4334,0.0983,101,1.43333,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
NHVZk,288.15,0.5546,0.0411,101,1.45228,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
NHVZk,288.15,0.6639,0.0097,101,1.47362,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
NHVZk,288.15,0.7632,0.0023,101,1.4979,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
NHVZk,298.15,0,0.4858,101,1.38846,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
NHVZk,298.15,0.0117,0,101,1.33452,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
NHVZk,298.15,0.0119,0.03,101,1.33744,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
NHVZk,298.15,0.0119,0.06,101,1.34029,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
NHVZk,298.15,0.0234,0,101,1.3365,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
NHVZk,298.15,0.0235,0.03,101,1.33931,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
NHVZk,298.15,0.0235,0.06,101,1.34229,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
NHVZk,298.15,0.0351,0,101,1.33844,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
NHVZk,298.15,0.0353,0.03,101,1.34129,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
NHVZk,298.15,0.0353,0.06,101,1.34423,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
NHVZk,298.15,0.0471,0,101,1.34042,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
NHVZk,298.15,0.0472,0.03,101,1.34351,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
