setid,Mole fraction of acetonitrile,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
NWoAL,0,101.3,298.15,1.43024,Gonzalez et al. (2012a),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
NWoAL,0.0753,101.3,298.15,1.42919,Gonzalez et al. (2012a),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
NWoAL,0.0943,101.3,298.15,1.42892,Gonzalez et al. (2012a),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
NWoAL,0.1999,101.3,298.15,1.42722,Gonzalez et al. (2012a),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
NWoAL,0.2894,101.3,298.15,1.42545,Gonzalez et al. (2012a),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
NWoAL,0.3915,101.3,298.15,1.42287,Gonzalez et al. (2012a),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
NWoAL,0.4968,101.3,298.15,1.4195,Gonzalez et al. (2012a),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
NWoAL,0.6009,101.3,298.15,1.41473,Gonzalez et al. (2012a),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
NWoAL,0.6954,101.3,298.15,1.40875,Gonzalez et al. (2012a),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
NWoAL,0.8126,101.3,298.15,1.39665,Gonzalez et al. (2012a),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
NWoAL,0.8979,101.3,298.15,1.38088,Gonzalez et al. (2012a),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
NWoAL,0.9493,101.3,298.15,1.36582,Gonzalez et al. (2012a),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
NWoAL,1,101.3,298.15,1.34149,Gonzalez et al. (2012a),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
