setid,Weight fraction of 1-butyl-3-methylimidazolium bromide,Weight fraction of rubidium nitrate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
IWqSc,0,0.3987,101,298.15,1.36533,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
IWqSc,0.053,0.3595,101,298.15,1.36479,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
IWqSc,0.1163,0.2967,101,298.15,1.37374,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
IWqSc,0.1849,0.2546,101,298.15,1.38465,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
IWqSc,0.2604,0.2127,101,298.15,1.39775,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
IWqSc,0.3414,0.1742,101,298.15,1.40969,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
IWqSc,0.4324,0.1284,101,298.15,1.42394,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
IWqSc,0.5249,0.0932,101,298.15,1.44012,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
IWqSc,0.6223,0.0592,101,298.15,1.45809,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
IWqSc,0.7075,0.0493,101,298.15,1.47667,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
IWqSc,0.7964,0.0368,101,298.15,1.49593,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
