setid,Mole fraction of pentan-2-ol,Mole fraction of hexane,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
QeJwq,0.2793,0.2304,303.15,100,1.45803,Montalban et al. (2018b),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxVB,CCCC(C)O,pentan-2-ol,AAQdzy,CCCCCC,hexane,
QeJwq,0.2799,0.71,303.15,100,1.39467,Montalban et al. (2018b),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxVB,CCCC(C)O,pentan-2-ol,AAQdzy,CCCCCC,hexane,
QeJwq,0.3301,0.6398,303.15,100,1.40203,Montalban et al. (2018b),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxVB,CCCC(C)O,pentan-2-ol,AAQdzy,CCCCCC,hexane,
QeJwq,0.3599,0.2801,303.15,100,1.44729,Montalban et al. (2018b),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxVB,CCCC(C)O,pentan-2-ol,AAQdzy,CCCCCC,hexane,
QeJwq,0.3701,0.5999,303.15,100,1.40758,Montalban et al. (2018b),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxVB,CCCC(C)O,pentan-2-ol,AAQdzy,CCCCCC,hexane,
QeJwq,0.4002,0.3193,303.15,100,1.44099,Montalban et al. (2018b),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxVB,CCCC(C)O,pentan-2-ol,AAQdzy,CCCCCC,hexane,
QeJwq,0.4064,0.5263,303.15,100,1.41502,Montalban et al. (2018b),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxVB,CCCC(C)O,pentan-2-ol,AAQdzy,CCCCCC,hexane,
QeJwq,0.4101,0.3,303.15,100,1.44439,Montalban et al. (2018b),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxVB,CCCC(C)O,pentan-2-ol,AAQdzy,CCCCCC,hexane,
QeJwq,0.4198,0.3533,303.15,100,1.4359,Montalban et al. (2018b),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxVB,CCCC(C)O,pentan-2-ol,AAQdzy,CCCCCC,hexane,
QeJwq,0.4199,0.4499,303.15,100,1.42373,Montalban et al. (2018b),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxVB,CCCC(C)O,pentan-2-ol,AAQdzy,CCCCCC,hexane,
QeJwq,0.4291,0.3825,303.15,100,1.43201,Montalban et al. (2018b),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxVB,CCCC(C)O,pentan-2-ol,AAQdzy,CCCCCC,hexane,
QeJwq,0.44,0.5,303.15,100,1.41849,Montalban et al. (2018b),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxVB,CCCC(C)O,pentan-2-ol,AAQdzy,CCCCCC,hexane,
