setid,Weight fraction of 1-methyl-3-propylimidazolium bromide,Weight fraction of cesium carbonate,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
EloYO,0.0166,0.0301,298.15,101,1.3374,Yin et al. (2013),Refractive index,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
EloYO,0.0167,0.0599,298.15,101,1.34025,Yin et al. (2013),Refractive index,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
EloYO,0.0171,0,298.15,101,1.33475,Yin et al. (2013),Refractive index,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
EloYO,0.0342,0,298.15,101,1.33731,Yin et al. (2013),Refractive index,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
EloYO,0.0342,0.0599,298.15,101,1.34289,Yin et al. (2013),Refractive index,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
EloYO,0.0343,0.0299,298.15,101,1.34,Yin et al. (2013),Refractive index,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
EloYO,0.051,0.0299,298.15,101,1.34254,Yin et al. (2013),Refractive index,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
EloYO,0.0512,0,298.15,101,1.33978,Yin et al. (2013),Refractive index,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
EloYO,0.0512,0.06,298.15,101,1.34551,Yin et al. (2013),Refractive index,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
EloYO,0.0683,0,298.15,101,1.34235,Yin et al. (2013),Refractive index,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
EloYO,0.0683,0.03005,298.15,101,1.3452,Yin et al. (2013),Refractive index,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
EloYO,0.0684,0.06,298.15,101,1.3482,Yin et al. (2013),Refractive index,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
EloYO,0.0854,0.0299,298.15,101,1.3478,Yin et al. (2013),Refractive index,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
EloYO,0.0854,0.0601,298.15,101,1.35091,Yin et al. (2013),Refractive index,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
EloYO,0.0863,0,298.15,101,1.34508,Yin et al. (2013),Refractive index,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
EloYO,0.1026,0,298.15,101,1.34759,Yin et al. (2013),Refractive index,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
