setid,Mole fraction of ethanol,Mole fraction of water,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
ulxVB,0.0425,0.9493,101,298.15,1.34953,Calvar et al. (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ulxVB,0.0462,0.9365,101,298.15,1.36004,Calvar et al. (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ulxVB,0.054,0.9172,101,298.15,1.37164,Calvar et al. (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ulxVB,0.0603,0.8923,101,298.15,1.38604,Calvar et al. (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ulxVB,0.0723,0.8613,101,298.15,1.39785,Calvar et al. (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ulxVB,0.0829,0.8208,101,298.15,1.41144,Calvar et al. (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ulxVB,0.0885,0.9037,101,298.15,1.35476,Calvar et al. (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ulxVB,0.0898,0.1724,101,298.15,1.47286,Calvar et al. (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ulxVB,0.0906,0.3653,101,298.15,1.46675,Calvar et al. (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ulxVB,0.1018,0.8819,101,298.15,1.3645,Calvar et al. (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ulxVB,0.1162,0.8569,101,298.15,1.3743,Calvar et al. (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ulxVB,0.1307,0.8254,101,298.15,1.38628,Calvar et al. (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ulxVB,0.1473,0.8454,101,298.15,1.35959,Calvar et al. (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ulxVB,0.1532,0.7862,101,298.15,1.3959,Calvar et al. (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ulxVB,0.1618,0.823,101,298.15,1.36735,Calvar et al. (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ulxVB,0.1776,0.736,101,298.15,1.4069,Calvar et al. (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ulxVB,0.1798,0.7952,101,298.15,1.37537,Calvar et al. (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ulxVB,0.1867,0.3267,101,298.15,1.46136,Calvar et al. (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ulxVB,0.203,0.4762,101,298.15,1.44988,Calvar et al. (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ulxVB,0.2036,0.7562,101,298.15,1.38518,Calvar et al. (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
