setid,"Mole fraction of 2,4-pentanedione","Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
kUmvb,0.0586,101,298.15,1.4811,Choi et al. (2013),Refractive index,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
kUmvb,0.0977,101,298.15,1.481,Choi et al. (2013),Refractive index,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
kUmvb,0.1957,101,298.15,1.481,Choi et al. (2013),Refractive index,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
kUmvb,0.2949,101,298.15,1.4805,Choi et al. (2013),Refractive index,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
kUmvb,0.3989,101,298.15,1.4799,Choi et al. (2013),Refractive index,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
kUmvb,0.4985,101,298.15,1.478,Choi et al. (2013),Refractive index,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
kUmvb,0.6092,101,298.15,1.4759,Choi et al. (2013),Refractive index,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
kUmvb,0.7096,101,298.15,1.4741,Choi et al. (2013),Refractive index,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
kUmvb,0.8008,101,298.15,1.4705,Choi et al. (2013),Refractive index,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
kUmvb,0.9036,101,298.15,1.4633,Choi et al. (2013),Refractive index,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
kUmvb,0.9508,101,298.15,1.458,Choi et al. (2013),Refractive index,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
