setid,"Temperature, K",Mole fraction of 1-propylpyridinium tetrafluoroborate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
CLlTY,293.15,0,99,1.33297,Anton et al. (2016),Refractive index,Liquid,AADYJk,O,water,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
CLlTY,293.15,0.0185,99,1.34795,Anton et al. (2016),Refractive index,Liquid,AADYJk,O,water,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
CLlTY,293.15,0.0287,99,1.3549,Anton et al. (2016),Refractive index,Liquid,AADYJk,O,water,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
CLlTY,293.15,0.0466,99,1.36529,Anton et al. (2016),Refractive index,Liquid,AADYJk,O,water,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
CLlTY,293.15,0.0766,99,1.37888,Anton et al. (2016),Refractive index,Liquid,AADYJk,O,water,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
CLlTY,293.15,0.0964,99,1.38592,Anton et al. (2016),Refractive index,Liquid,AADYJk,O,water,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
CLlTY,293.15,0.2011,99,1.40941,Anton et al. (2016),Refractive index,Liquid,AADYJk,O,water,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
CLlTY,293.15,0.2858,99,1.41984,Anton et al. (2016),Refractive index,Liquid,AADYJk,O,water,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
CLlTY,293.15,0.3993,99,1.42862,Anton et al. (2016),Refractive index,Liquid,AADYJk,O,water,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
CLlTY,293.15,0.4979,99,1.4337,Anton et al. (2016),Refractive index,Liquid,AADYJk,O,water,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
