setid,Mole fraction of methanol,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
dAgIP,0.0654,298.15,101,1.43207,Andreatta et al. (2009b),Refractive index,Liquid,AAGIBL,CO,methanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
dAgIP,0.0863,298.15,101,1.43188,Andreatta et al. (2009b),Refractive index,Liquid,AAGIBL,CO,methanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
dAgIP,0.2134,298.15,101,1.42995,Andreatta et al. (2009b),Refractive index,Liquid,AAGIBL,CO,methanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
dAgIP,0.3138,298.15,101,1.42809,Andreatta et al. (2009b),Refractive index,Liquid,AAGIBL,CO,methanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
dAgIP,0.3873,298.15,101,1.42619,Andreatta et al. (2009b),Refractive index,Liquid,AAGIBL,CO,methanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
dAgIP,0.5038,298.15,101,1.42266,Andreatta et al. (2009b),Refractive index,Liquid,AAGIBL,CO,methanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
dAgIP,0.6155,298.15,101,1.41741,Andreatta et al. (2009b),Refractive index,Liquid,AAGIBL,CO,methanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
dAgIP,0.7018,298.15,101,1.41157,Andreatta et al. (2009b),Refractive index,Liquid,AAGIBL,CO,methanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
dAgIP,0.805,298.15,101,1.40017,Andreatta et al. (2009b),Refractive index,Liquid,AAGIBL,CO,methanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
dAgIP,0.902,298.15,101,1.38017,Andreatta et al. (2009b),Refractive index,Liquid,AAGIBL,CO,methanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
