setid,Mole fraction of tris(2-hydroxyethyl) methylammonium methylsulfate,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
wFjGa,0.0478,298.15,101,1.38887,Arce et al. (2008a),Refractive index,Liquid,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,,
wFjGa,0.0967,298.15,101,1.41769,Arce et al. (2008a),Refractive index,Liquid,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,,
wFjGa,0.1939,298.15,101,1.44581,Arce et al. (2008a),Refractive index,Liquid,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,,
wFjGa,0.2421,298.15,101,1.4539,Arce et al. (2008a),Refractive index,Liquid,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,,
wFjGa,0.2894,298.15,101,1.45949,Arce et al. (2008a),Refractive index,Liquid,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,,
wFjGa,0.3872,298.15,101,1.46758,Arce et al. (2008a),Refractive index,Liquid,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,,
wFjGa,0.4858,298.15,101,1.47335,Arce et al. (2008a),Refractive index,Liquid,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,,
wFjGa,0.6064,298.15,101,1.47587,Arce et al. (2008a),Refractive index,Liquid,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,,
wFjGa,0.6698,298.15,101,1.47878,Arce et al. (2008a),Refractive index,Liquid,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,,
wFjGa,0.7822,298.15,101,1.4813,Arce et al. (2008a),Refractive index,Liquid,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,,
wFjGa,0.867,298.15,101,1.4827,Arce et al. (2008a),Refractive index,Liquid,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,,
wFjGa,0.9398,298.15,101,1.48341,Arce et al. (2008a),Refractive index,Liquid,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,,
