setid,"Temperature, K",Mole fraction of ammonium chloride (NH4Cl),"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
NsUmI,298.15,0,101,1.49997,Oliveira et al. (2015),Refractive index,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NsUmI,298.15,0.0505,101,1.50091,Oliveira et al. (2015),Refractive index,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NsUmI,298.15,0.0999,101,1.50176,Oliveira et al. (2015),Refractive index,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NsUmI,298.15,0.1702,101,1.50278,Oliveira et al. (2015),Refractive index,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NsUmI,298.15,0.25,101,1.50385,Oliveira et al. (2015),Refractive index,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NsUmI,298.15,0.3297,101,1.50474,Oliveira et al. (2015),Refractive index,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NsUmI,303.15,0,101,1.49867,Oliveira et al. (2015),Refractive index,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NsUmI,303.15,0.0505,101,1.49958,Oliveira et al. (2015),Refractive index,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NsUmI,303.15,0.0999,101,1.50043,Oliveira et al. (2015),Refractive index,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NsUmI,303.15,0.1702,101,1.5015,Oliveira et al. (2015),Refractive index,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NsUmI,303.15,0.25,101,1.50262,Oliveira et al. (2015),Refractive index,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NsUmI,303.15,0.3297,101,1.50345,Oliveira et al. (2015),Refractive index,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NsUmI,308.15,0,101,1.49732,Oliveira et al. (2015),Refractive index,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NsUmI,308.15,0.0505,101,1.4982,Oliveira et al. (2015),Refractive index,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NsUmI,308.15,0.0999,101,1.49904,Oliveira et al. (2015),Refractive index,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NsUmI,308.15,0.1702,101,1.50014,Oliveira et al. (2015),Refractive index,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NsUmI,308.15,0.25,101,1.50129,Oliveira et al. (2015),Refractive index,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NsUmI,308.15,0.3297,101,1.50217,Oliveira et al. (2015),Refractive index,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
