setid,Mole fraction of 1-butyl-3-methylimidazolium methyl sulfate,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
cNfMK,0.0517,298.15,101,1.4307,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
cNfMK,0.0891,298.15,101,1.4339,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
cNfMK,0.1483,298.15,101,1.4388,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
cNfMK,0.2233,298.15,101,1.4443,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
cNfMK,0.2901,298.15,101,1.4488,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
cNfMK,0.3194,298.15,101,1.4507,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
cNfMK,0.3902,298.15,101,1.4548,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
cNfMK,0.4732,298.15,101,1.4593,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
cNfMK,0.5364,298.15,101,1.4626,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
cNfMK,0.6235,298.15,101,1.4663,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
cNfMK,0.696,298.15,101,1.4697,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
cNfMK,0.8065,298.15,101,1.4735,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
cNfMK,0.8947,298.15,101,1.4763,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
