setid,Mole fraction of ethanol,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
oeXpq,0.0959,101.3,298.15,1.43164,Andreatta et al. (2009a),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
oeXpq,0.1162,101.3,298.15,1.43133,Andreatta et al. (2009a),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
oeXpq,0.1935,101.3,298.15,1.43016,Andreatta et al. (2009a),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
oeXpq,0.2269,101.3,298.15,1.42965,Andreatta et al. (2009a),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
oeXpq,0.3304,101.3,298.15,1.42766,Andreatta et al. (2009a),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
oeXpq,0.4164,101.3,298.15,1.42549,Andreatta et al. (2009a),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
oeXpq,0.5412,101.3,298.15,1.42143,Andreatta et al. (2009a),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
oeXpq,0.6012,101.3,298.15,1.41886,Andreatta et al. (2009a),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
oeXpq,0.7033,101.3,298.15,1.41319,Andreatta et al. (2009a),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
oeXpq,0.8067,101.3,298.15,1.40447,Andreatta et al. (2009a),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
oeXpq,0.8967,101.3,298.15,1.39142,Andreatta et al. (2009a),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
