setid,"Temperature, K","MolaLity of 1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate, mol/kg","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
xqjzA,288.15,0,101,1.3459,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
xqjzA,288.15,0.02029,101,1.3462,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
xqjzA,288.15,0.02813,101,1.3463,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
xqjzA,288.15,0.03922,101,1.3466,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
xqjzA,288.15,0.04982,101,1.3469,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
xqjzA,288.15,0.05957,101,1.3471,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
xqjzA,288.15,0.06919,101,1.3473,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
xqjzA,288.15,0.07996,101,1.3475,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
xqjzA,288.15,0.09008,101,1.3479,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
xqjzA,288.15,0.10106,101,1.3482,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
