setid,"Temperature, K","Pressure, kPa","Mole ratio to solvent: 1,2-ethanediol",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
QNejV,283.15,101.3,2,1.47999,Kazarina et al. (2023b),Refractive index,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
QNejV,288.15,101.3,2,1.47864,Kazarina et al. (2023b),Refractive index,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
QNejV,293.15,101.3,2,1.47728,Kazarina et al. (2023b),Refractive index,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
QNejV,298.15,101.3,2,1.47631,Kazarina et al. (2023b),Refractive index,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
QNejV,303.15,101.3,2,1.47495,Kazarina et al. (2023b),Refractive index,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
QNejV,308.15,101.3,2,1.47359,Kazarina et al. (2023b),Refractive index,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
QNejV,313.15,101.3,2,1.47217,Kazarina et al. (2023b),Refractive index,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
QNejV,318.15,101.3,2,1.47112,Kazarina et al. (2023b),Refractive index,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
QNejV,323.15,101.3,2,1.46976,Kazarina et al. (2023b),Refractive index,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
QNejV,328.15,101.3,2,1.46841,Kazarina et al. (2023b),Refractive index,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
QNejV,333.15,101.3,2,1.46734,Kazarina et al. (2023b),Refractive index,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
QNejV,338.15,101.3,2,1.46614,Kazarina et al. (2023b),Refractive index,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
QNejV,343.15,101.3,2,1.46506,Kazarina et al. (2023b),Refractive index,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
