setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium hexafluorophosphate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
xSHEL,298.15,0,101,1.40011,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,298.15,0.0966,101,1.4055,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,298.15,0.1943,101,1.4077,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,298.15,0.2887,101,1.4085,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,298.15,0.3979,101,1.40881,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,298.15,0.4792,101,1.40886,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,298.15,0.5943,101,1.40882,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,298.15,0.6753,101,1.40881,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,298.15,0.8101,101,1.4088,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,298.15,0.8849,101,1.40881,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,298.15,1,101,1.40885,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,303.15,0,101,1.39813,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,303.15,0.0966,101,1.40375,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,303.15,0.1943,101,1.40612,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,303.15,0.2887,101,1.40699,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,303.15,0.3979,101,1.40733,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,303.15,0.4792,101,1.4074,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,303.15,0.5943,101,1.40741,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,303.15,0.6753,101,1.4074,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,303.15,0.8101,101,1.4074,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,303.15,0.8849,101,1.40741,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,303.15,1,101,1.40746,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,308.15,0,101,1.39612,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,308.15,0.0966,101,1.40203,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,308.15,0.1943,101,1.40455,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,308.15,0.2887,101,1.40552,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,308.15,0.3979,101,1.40588,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,308.15,0.4792,101,1.40598,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,308.15,0.5943,101,1.40599,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,308.15,0.6753,101,1.406,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,308.15,0.8101,101,1.40601,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,308.15,0.8849,101,1.40603,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,308.15,1,101,1.40608,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,313.15,0,101,1.39415,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,313.15,0.0966,101,1.40035,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,313.15,0.1943,101,1.403,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,313.15,0.2887,101,1.40404,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,313.15,0.3979,101,1.40444,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,313.15,0.4792,101,1.40458,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,313.15,0.5943,101,1.40463,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,313.15,0.6753,101,1.40465,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,313.15,0.8101,101,1.40467,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,313.15,0.8849,101,1.4047,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,313.15,1,101,1.40476,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,318.15,0,101,1.39223,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,318.15,0.0966,101,1.39872,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,318.15,0.1943,101,1.4015,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,318.15,0.2887,101,1.40262,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,318.15,0.3979,101,1.40312,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,318.15,0.4792,101,1.40328,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,318.15,0.5943,101,1.40339,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,318.15,0.6753,101,1.40341,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,318.15,0.8101,101,1.40345,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,318.15,0.8849,101,1.40349,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,318.15,1,101,1.40356,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
xSHEL,323.15,0,101,1.39023,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
