setid,Mole fraction of 1-butyl-3-methylimidazolium iodide,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
yNkhX,0,100,293,1.3333,Kaneko et al. (2018a),Refractive index,Liquid,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,AADYJk,O,water,,,,
yNkhX,0.008,100,293,1.3519,Kaneko et al. (2018a),Refractive index,Liquid,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,AADYJk,O,water,,,,
yNkhX,0.021,100,293,1.3753,Kaneko et al. (2018a),Refractive index,Liquid,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,AADYJk,O,water,,,,
yNkhX,0.045,100,293,1.4104,Kaneko et al. (2018a),Refractive index,Liquid,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,AADYJk,O,water,,,,
yNkhX,0.084,100,293,1.45,Kaneko et al. (2018a),Refractive index,Liquid,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,AADYJk,O,water,,,,
yNkhX,0.134,100,293,1.4821,Kaneko et al. (2018a),Refractive index,Liquid,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,AADYJk,O,water,,,,
yNkhX,0.212,100,293,1.5131,Kaneko et al. (2018a),Refractive index,Liquid,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,AADYJk,O,water,,,,
yNkhX,0.332,100,293,1.539,Kaneko et al. (2018a),Refractive index,Liquid,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,AADYJk,O,water,,,,
yNkhX,0.456,100,293,1.5551,Kaneko et al. (2018a),Refractive index,Liquid,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,AADYJk,O,water,,,,
yNkhX,0.678,100,293,1.5722,Kaneko et al. (2018a),Refractive index,Liquid,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,AADYJk,O,water,,,,
yNkhX,0.93,100,293,1.5815,Kaneko et al. (2018a),Refractive index,Liquid,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,AADYJk,O,water,,,,
yNkhX,1,100,293,1.5824,Kaneko et al. (2018a),Refractive index,Liquid,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,AADYJk,O,water,,,,
