setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium chloride, mol/kg","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
AlddA,298.15,0.0105,101,1.333,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,298.15,0.023,101,1.3334,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,298.15,0.0289,101,1.3335,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,298.15,0.0398,101,1.334,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,298.15,0.0621,101,1.3343,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,298.15,0.0803,101,1.3349,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,298.15,0.0986,101,1.3354,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,298.15,0.1413,101,1.3366,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,298.15,0.1816,101,1.3377,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,298.15,0.2223,101,1.3388,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,298.15,0.2764,101,1.3404,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,298.15,0.3386,101,1.3419,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,298.15,0.371,101,1.3428,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,298.15,0.4863,101,1.3457,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,298.15,0.599,101,1.3484,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,298.15,0.7152,101,1.3512,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,298.15,0.9754,101,1.3571,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,298.15,1.4915,101,1.3679,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,298.15,1.9999,101,1.3774,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,298.15,2.9617,101,1.3923,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,308.15,0.0105,101,1.3317,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,308.15,0.023,101,1.332,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,308.15,0.0289,101,1.3323,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,308.15,0.0398,101,1.3326,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,308.15,0.0621,101,1.333,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,308.15,0.0803,101,1.3336,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,308.15,0.0986,101,1.3341,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,308.15,0.1413,101,1.3351,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,308.15,0.1816,101,1.3363,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,308.15,0.2223,101,1.3373,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,308.15,0.2764,101,1.3389,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,308.15,0.3386,101,1.3403,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,308.15,0.371,101,1.3416,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,308.15,0.4863,101,1.3441,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,308.15,0.599,101,1.3469,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,308.15,0.7152,101,1.3497,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,308.15,0.9754,101,1.3562,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,308.15,1.4915,101,1.3661,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,308.15,1.9999,101,1.3754,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,308.15,2.9617,101,1.3904,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,318.15,0.0105,101,1.3292,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,318.15,0.023,101,1.3295,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,318.15,0.0289,101,1.3296,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,318.15,0.0398,101,1.33,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,318.15,0.0621,101,1.3305,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,318.15,0.0803,101,1.331,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
