setid,"Mole fraction of 1,1,3,3-tetramethylguanidinium imidazol-1-ide","Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
CXEPm,0,100,298.15,1.3836,Ye et al. (2016),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
CXEPm,0.0499,100,298.15,1.3969,Ye et al. (2016),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
CXEPm,0.0999,100,298.15,1.4086,Ye et al. (2016),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
CXEPm,0.2002,100,298.15,1.428,Ye et al. (2016),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
CXEPm,0.2996,100,298.15,1.4423,Ye et al. (2016),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
CXEPm,0.4002,100,298.15,1.4545,Ye et al. (2016),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
CXEPm,0.4988,100,298.15,1.4642,Ye et al. (2016),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
CXEPm,0.6264,100,298.15,1.4742,Ye et al. (2016),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
CXEPm,0.8001,100,298.15,1.4848,Ye et al. (2016),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
CXEPm,0.9006,100,298.15,1.4895,Ye et al. (2016),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
CXEPm,1,100,298.15,1.4943,Ye et al. (2016),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
