setid,Weight fraction of ethanol,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
gJvvI,0.008,313.15,101,1.4353,Corderi et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,,
gJvvI,0.015,313.15,101,1.43444,Corderi et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,,
gJvvI,0.031,313.15,101,1.43265,Corderi et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,,
gJvvI,0.056,313.15,101,1.42966,Corderi et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,,
gJvvI,0.082,313.15,101,1.42682,Corderi et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,,
gJvvI,0.123,313.15,101,1.4224,Corderi et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,,
gJvvI,0.179,313.15,101,1.4163,Corderi et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,,
gJvvI,0.252,313.15,101,1.40929,Corderi et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,,
gJvvI,0.366,313.15,101,1.39893,Corderi et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,,
gJvvI,0.551,313.15,101,1.38502,Corderi et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,,
gJvvI,0.72,313.15,101,1.37175,Corderi et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,,
