setid,Mole fraction of methanol,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
lLLXp,0,101,298.15,1.51051,Gonzalez et al. (2006),Refractive index,Liquid,AAGIBL,CO,methanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
lLLXp,0.0565,101,298.15,1.50817,Gonzalez et al. (2006),Refractive index,Liquid,AAGIBL,CO,methanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
lLLXp,0.1686,101,298.15,1.50362,Gonzalez et al. (2006),Refractive index,Liquid,AAGIBL,CO,methanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
lLLXp,0.2638,101,298.15,1.49975,Gonzalez et al. (2006),Refractive index,Liquid,AAGIBL,CO,methanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
lLLXp,0.3525,101,298.15,1.49421,Gonzalez et al. (2006),Refractive index,Liquid,AAGIBL,CO,methanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
lLLXp,0.4395,101,298.15,1.48828,Gonzalez et al. (2006),Refractive index,Liquid,AAGIBL,CO,methanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
lLLXp,0.5589,101,298.15,1.47696,Gonzalez et al. (2006),Refractive index,Liquid,AAGIBL,CO,methanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
lLLXp,0.7536,101,298.15,1.44786,Gonzalez et al. (2006),Refractive index,Liquid,AAGIBL,CO,methanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
lLLXp,0.8231,101,298.15,1.43053,Gonzalez et al. (2006),Refractive index,Liquid,AAGIBL,CO,methanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
lLLXp,0.8713,101,298.15,1.41277,Gonzalez et al. (2006),Refractive index,Liquid,AAGIBL,CO,methanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
lLLXp,0.8813,101,298.15,1.4084,Gonzalez et al. (2006),Refractive index,Liquid,AAGIBL,CO,methanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
lLLXp,0.9236,101,298.15,1.38754,Gonzalez et al. (2006),Refractive index,Liquid,AAGIBL,CO,methanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
lLLXp,0.9436,101,298.15,1.37577,Gonzalez et al. (2006),Refractive index,Liquid,AAGIBL,CO,methanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
lLLXp,0.9803,101,298.15,1.3468,Gonzalez et al. (2006),Refractive index,Liquid,AAGIBL,CO,methanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
lLLXp,1,101,298.15,1.32687,Gonzalez et al. (2006),Refractive index,Liquid,AAGIBL,CO,methanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
