setid,Solvent: Weight fraction of trimethylbenzylammonium chloride,"Temperature, K","MolaLity of sodium salicylate, mol/kg","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
Tarmi,0.001,298.15,0.01,100,1.3311,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAepyZ,O=C([O-])c1ccccc1O.[Na+],sodium salicylate,AADYJk,O,water,
Tarmi,0.001,298.15,0.0251,100,1.332,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAepyZ,O=C([O-])c1ccccc1O.[Na+],sodium salicylate,AADYJk,O,water,
Tarmi,0.001,298.15,0.0402,100,1.3327,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAepyZ,O=C([O-])c1ccccc1O.[Na+],sodium salicylate,AADYJk,O,water,
Tarmi,0.001,298.15,0.0554,100,1.3333,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAepyZ,O=C([O-])c1ccccc1O.[Na+],sodium salicylate,AADYJk,O,water,
Tarmi,0.001,298.15,0.0705,100,1.3341,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAepyZ,O=C([O-])c1ccccc1O.[Na+],sodium salicylate,AADYJk,O,water,
Tarmi,0.001,298.15,0.0858,100,1.3347,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAepyZ,O=C([O-])c1ccccc1O.[Na+],sodium salicylate,AADYJk,O,water,
Tarmi,0.001,303.15,0.01,100,1.3307,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAepyZ,O=C([O-])c1ccccc1O.[Na+],sodium salicylate,AADYJk,O,water,
Tarmi,0.001,303.15,0.0251,100,1.3315,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAepyZ,O=C([O-])c1ccccc1O.[Na+],sodium salicylate,AADYJk,O,water,
Tarmi,0.001,303.15,0.0402,100,1.3322,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAepyZ,O=C([O-])c1ccccc1O.[Na+],sodium salicylate,AADYJk,O,water,
Tarmi,0.001,303.15,0.0554,100,1.3329,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAepyZ,O=C([O-])c1ccccc1O.[Na+],sodium salicylate,AADYJk,O,water,
Tarmi,0.001,303.15,0.0705,100,1.3335,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAepyZ,O=C([O-])c1ccccc1O.[Na+],sodium salicylate,AADYJk,O,water,
Tarmi,0.001,303.15,0.0858,100,1.3343,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAepyZ,O=C([O-])c1ccccc1O.[Na+],sodium salicylate,AADYJk,O,water,
Tarmi,0.001,308.15,0.01,100,1.3303,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAepyZ,O=C([O-])c1ccccc1O.[Na+],sodium salicylate,AADYJk,O,water,
Tarmi,0.001,308.15,0.0251,100,1.3312,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAepyZ,O=C([O-])c1ccccc1O.[Na+],sodium salicylate,AADYJk,O,water,
Tarmi,0.001,308.15,0.0402,100,1.3318,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAepyZ,O=C([O-])c1ccccc1O.[Na+],sodium salicylate,AADYJk,O,water,
Tarmi,0.001,308.15,0.0554,100,1.3325,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAepyZ,O=C([O-])c1ccccc1O.[Na+],sodium salicylate,AADYJk,O,water,
