setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium ethyl sulfate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
DozCe,298.15,0,100,1.40569,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,298.15,0.04876,100,1.41271,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,298.15,0.09058,100,1.41845,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,298.15,0.13425,100,1.42393,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,298.15,0.17272,100,1.42838,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,298.15,0.25898,100,1.43721,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,298.15,0.34705,100,1.44482,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,298.15,0.4489,100,1.45223,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,298.15,0.54838,100,1.45836,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,298.15,0.64522,100,1.46351,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,298.15,0.76737,100,1.46912,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,298.15,0.81543,100,1.4711,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,298.15,0.87976,100,1.47356,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,298.15,0.94121,100,1.47572,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,298.15,1,100,1.47756,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,308.15,0,100,1.40153,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,308.15,0.04876,100,1.40871,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,308.15,0.09058,100,1.41459,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,308.15,0.13425,100,1.42021,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,308.15,0.17272,100,1.42476,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,308.15,0.25898,100,1.43377,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,308.15,0.34705,100,1.44153,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,308.15,0.4489,100,1.44909,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,308.15,0.54838,100,1.45534,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,308.15,0.64522,100,1.46061,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,308.15,0.76737,100,1.46637,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,308.15,0.81543,100,1.4684,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,308.15,0.87976,100,1.47091,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
