setid,Mole fraction of trimethylammonium acetate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
kStsQ,0,101,298.15,1.33,Umapathi et al. (2014),Refractive index,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,,
kStsQ,0.0451,101,298.15,1.339,Umapathi et al. (2014),Refractive index,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,,
kStsQ,0.0651,101,298.15,1.342,Umapathi et al. (2014),Refractive index,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,,
kStsQ,0.0978,101,298.15,1.347,Umapathi et al. (2014),Refractive index,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,,
kStsQ,0.1283,101,298.15,1.351,Umapathi et al. (2014),Refractive index,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,,
kStsQ,0.1524,101,298.15,1.354,Umapathi et al. (2014),Refractive index,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,,
kStsQ,0.2133,101,298.15,1.361,Umapathi et al. (2014),Refractive index,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,,
kStsQ,0.3002,101,298.15,1.369,Umapathi et al. (2014),Refractive index,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,,
kStsQ,0.328,101,298.15,1.371,Umapathi et al. (2014),Refractive index,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,,
kStsQ,0.3943,101,298.15,1.376,Umapathi et al. (2014),Refractive index,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,,
kStsQ,0.4341,101,298.15,1.378,Umapathi et al. (2014),Refractive index,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,,
kStsQ,0.4797,101,298.15,1.38,Umapathi et al. (2014),Refractive index,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,,
kStsQ,0.5325,101,298.15,1.382,Umapathi et al. (2014),Refractive index,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,,
kStsQ,0.5942,101,298.15,1.384,Umapathi et al. (2014),Refractive index,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,,
kStsQ,0.6292,101,298.15,1.385,Umapathi et al. (2014),Refractive index,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,,
kStsQ,0.7094,101,298.15,1.387,Umapathi et al. (2014),Refractive index,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,,
kStsQ,0.7556,101,298.15,1.388,Umapathi et al. (2014),Refractive index,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,,
kStsQ,0.8068,101,298.15,1.389,Umapathi et al. (2014),Refractive index,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,,
kStsQ,0.8639,101,298.15,1.39,Umapathi et al. (2014),Refractive index,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,,
kStsQ,0.9278,101,298.15,1.391,Umapathi et al. (2014),Refractive index,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,,
kStsQ,1,101,298.15,1.392,Umapathi et al. (2014),Refractive index,Liquid,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,AADYJk,O,water,,,,
