setid,"Temperature, K",Weight fraction of 1-ethyl-3-methylimidazolium ethyl sulfate,Weight fraction of 4-methyldibenzothiophene,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
MbxAI,298.1,0.9494,0.0452,101,1.4878,Oliveira and Aznar (2010),Refractive index,Liquid,AAgnKZ,CCCCCCCCCCCC,dodecane,AAmGMw,Cc1cccc2c1sc1ccccc12,4-methyldibenzothiophene,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
MbxAI,298.1,0.9755,0.0177,101,1.4821,Oliveira and Aznar (2010),Refractive index,Liquid,AAgnKZ,CCCCCCCCCCCC,dodecane,AAmGMw,Cc1cccc2c1sc1ccccc12,4-methyldibenzothiophene,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
MbxAI,298.1,0.9795,0.0137,101,1.4813,Oliveira and Aznar (2010),Refractive index,Liquid,AAgnKZ,CCCCCCCCCCCC,dodecane,AAmGMw,Cc1cccc2c1sc1ccccc12,4-methyldibenzothiophene,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
MbxAI,298.1,0.9852,0.0067,101,1.4799,Oliveira and Aznar (2010),Refractive index,Liquid,AAgnKZ,CCCCCCCCCCCC,dodecane,AAmGMw,Cc1cccc2c1sc1ccccc12,4-methyldibenzothiophene,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
MbxAI,298.1,0.9983,0,101,1.4788,Oliveira and Aznar (2010),Refractive index,Liquid,AAgnKZ,CCCCCCCCCCCC,dodecane,AAmGMw,Cc1cccc2c1sc1ccccc12,4-methyldibenzothiophene,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
MbxAI,313,0.9555,0.0387,101,1.4828,Oliveira and Aznar (2010),Refractive index,Liquid,AAgnKZ,CCCCCCCCCCCC,dodecane,AAmGMw,Cc1cccc2c1sc1ccccc12,4-methyldibenzothiophene,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
MbxAI,313,0.9635,0.0293,101,1.481,Oliveira and Aznar (2010),Refractive index,Liquid,AAgnKZ,CCCCCCCCCCCC,dodecane,AAmGMw,Cc1cccc2c1sc1ccccc12,4-methyldibenzothiophene,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
MbxAI,313,0.9711,0.0214,101,1.4793,Oliveira and Aznar (2010),Refractive index,Liquid,AAgnKZ,CCCCCCCCCCCC,dodecane,AAmGMw,Cc1cccc2c1sc1ccccc12,4-methyldibenzothiophene,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
MbxAI,313,0.9851,0.0088,101,1.477,Oliveira and Aznar (2010),Refractive index,Liquid,AAgnKZ,CCCCCCCCCCCC,dodecane,AAmGMw,Cc1cccc2c1sc1ccccc12,4-methyldibenzothiophene,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
MbxAI,313,0.9986,0,101,1.4749,Oliveira and Aznar (2010),Refractive index,Liquid,AAgnKZ,CCCCCCCCCCCC,dodecane,AAmGMw,Cc1cccc2c1sc1ccccc12,4-methyldibenzothiophene,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
