setid,"Temperature, K",Volume fraction of 1-butyl-3-methylpyridinium tetrafluoroborate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
Ofcka,293.15,0,101,1.32843,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,,
Ofcka,293.15,0.0958,101,1.34245,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,,
Ofcka,293.15,0.2025,101,1.35728,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,,
Ofcka,293.15,0.2756,101,1.36702,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,,
Ofcka,293.15,0.3528,101,1.37693,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,,
Ofcka,293.15,0.4508,101,1.38917,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,,
Ofcka,293.15,0.5501,101,1.40126,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,,
Ofcka,293.15,0.6751,101,1.416,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,,
Ofcka,293.15,0.7686,101,1.42667,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,,
Ofcka,293.15,0.828,101,1.43333,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,,
