setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium ibuprofenate, mol/kg","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
NEduy,288.15,0.1109,86.8,1.3408,Shekaari et al. (2016c),Refractive index,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,,
NEduy,288.15,0.111,86.8,1.3404,Shekaari et al. (2016c),Refractive index,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,,
NEduy,288.15,0.18,86.8,1.3452,Shekaari et al. (2016c),Refractive index,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,,
NEduy,288.15,0.1801,86.8,1.3452,Shekaari et al. (2016c),Refractive index,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,,
NEduy,288.15,0.26,86.8,1.3503,Shekaari et al. (2016c),Refractive index,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,,
NEduy,288.15,0.264,86.8,1.3504,Shekaari et al. (2016c),Refractive index,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,,
NEduy,298.15,0.1109,86.8,1.3396,Shekaari et al. (2016c),Refractive index,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,,
NEduy,298.15,0.111,86.8,1.3398,Shekaari et al. (2016c),Refractive index,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,,
NEduy,298.15,0.18,86.8,1.3447,Shekaari et al. (2016c),Refractive index,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,,
NEduy,298.15,0.1801,86.8,1.3447,Shekaari et al. (2016c),Refractive index,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,,
NEduy,298.15,0.26,86.8,1.3495,Shekaari et al. (2016c),Refractive index,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,,
NEduy,298.15,0.264,86.8,1.35,Shekaari et al. (2016c),Refractive index,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,,
NEduy,308.15,0.1109,86.8,1.338,Shekaari et al. (2016c),Refractive index,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,,
NEduy,308.15,0.111,86.8,1.3382,Shekaari et al. (2016c),Refractive index,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,,
NEduy,308.15,0.18,86.8,1.3426,Shekaari et al. (2016c),Refractive index,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,,
NEduy,308.15,0.1801,86.8,1.3427,Shekaari et al. (2016c),Refractive index,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,,
NEduy,308.15,0.26,86.8,1.3478,Shekaari et al. (2016c),Refractive index,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,,
NEduy,308.15,0.264,86.8,1.348,Shekaari et al. (2016c),Refractive index,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,,
NEduy,318.15,0.1109,86.8,1.3369,Shekaari et al. (2016c),Refractive index,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,,
NEduy,318.15,0.18,86.8,1.3415,Shekaari et al. (2016c),Refractive index,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,,
NEduy,318.15,0.1801,86.8,1.3416,Shekaari et al. (2016c),Refractive index,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,,
NEduy,318.15,0.26,86.8,1.3466,Shekaari et al. (2016c),Refractive index,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,,
NEduy,318.15,0.264,86.8,1.3467,Shekaari et al. (2016c),Refractive index,Liquid,AADYJk,O,water,ABOMSG,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCn1cc[n+](C)c1,1-butyl-3-methylimidazolium ibuprofenate,,,,
