setid,Weight fraction of N-pentadecyl-N-methylmorpholinium bromide,"Temperature, K","MolaRity of tetradecyltrimethylammonium bromide, mol/dm3","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
TcTnw,0.0003,293.15,0.00027,101,1.33309,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0003,293.15,0.00082,101,1.33312,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0003,293.15,0.00137,101,1.33316,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0003,293.15,0.00192,101,1.3332,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0003,293.15,0.00247,101,1.33323,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0003,293.15,0.00302,101,1.33327,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0003,293.15,0.00357,101,1.3333,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0003,293.15,0.00412,101,1.33332,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0003,293.15,0.00467,101,1.33334,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0003,298.15,0.00027,101,1.33258,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
