setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium trifluoromethanesulfonate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
CrCWc,298.15,0,100,1.4263,Suneetha et al. (2017b),Refractive index,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",,,,
CrCWc,298.15,0.0999,100,1.4288,Suneetha et al. (2017b),Refractive index,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",,,,
CrCWc,298.15,0.2046,100,1.4308,Suneetha et al. (2017b),Refractive index,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",,,,
CrCWc,298.15,0.2989,100,1.4324,Suneetha et al. (2017b),Refractive index,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",,,,
CrCWc,298.15,0.3934,100,1.4338,Suneetha et al. (2017b),Refractive index,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",,,,
CrCWc,298.15,0.4981,100,1.4349,Suneetha et al. (2017b),Refractive index,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",,,,
CrCWc,298.15,0.5951,100,1.436,Suneetha et al. (2017b),Refractive index,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",,,,
CrCWc,298.15,0.695,100,1.4366,Suneetha et al. (2017b),Refractive index,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",,,,
CrCWc,298.15,0.7978,100,1.4369,Suneetha et al. (2017b),Refractive index,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",,,,
CrCWc,298.15,0.8934,100,1.437,Suneetha et al. (2017b),Refractive index,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",,,,
CrCWc,298.15,1,100,1.4368,Suneetha et al. (2017b),Refractive index,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",,,,
CrCWc,303.15,0,100,1.4243,Suneetha et al. (2017b),Refractive index,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",,,,
CrCWc,303.15,0.0999,100,1.4268,Suneetha et al. (2017b),Refractive index,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",,,,
CrCWc,303.15,0.2046,100,1.4288,Suneetha et al. (2017b),Refractive index,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",,,,
CrCWc,303.15,0.2989,100,1.4305,Suneetha et al. (2017b),Refractive index,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",,,,
CrCWc,303.15,0.3934,100,1.432,Suneetha et al. (2017b),Refractive index,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",,,,
CrCWc,303.15,0.4981,100,1.4332,Suneetha et al. (2017b),Refractive index,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",,,,
CrCWc,303.15,0.5951,100,1.4343,Suneetha et al. (2017b),Refractive index,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",,,,
CrCWc,303.15,0.695,100,1.4349,Suneetha et al. (2017b),Refractive index,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",,,,
CrCWc,303.15,0.7978,100,1.4353,Suneetha et al. (2017b),Refractive index,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",,,,
CrCWc,303.15,0.8934,100,1.4356,Suneetha et al. (2017b),Refractive index,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",,,,
CrCWc,303.15,1,100,1.4355,Suneetha et al. (2017b),Refractive index,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",,,,
